"","R2_gly","RMSE_gly","R2_tca","RMSE_tca","R2_ppp","RMSE_ppp"
"d13_ferm_pfba",0.992886264729576,1.57610610332273,0.597576909206281,1.43370351841948,0.952535940716718,0.810096383420818
"d13_oxi_pfba",0.896619555031414,0.642936845618833,0.0586907968143495,0.766515834505521,0.819289886397512,0.617720020484669
"d13_rferm_pfba",0.951371166476317,1.8999042884221,0.186740673079933,1.87789307557436,0.282919127106439,1.07436297216547
"d14_hxk2_pfba",0.985908941405022,0.39591626829204,0.229002179667587,0.508360978116824,0.19401187836522,0.304660601921457
"d14_wt_pfba",0.998928008194344,0.0721960648098651,0.979228863020153,0.0650420201240597,0.954236979054999,0.175444612147356
"d3_gal_pfba",0.954093353809235,1.62971590956519,0.960220487438406,0.254514443702477,0.945944394645181,0.396101715496687
"d3_glu_pfba",0.956309342984163,5.55383074041773,0.996928017976207,0.434062487971317,0.83324998852895,0.279957276774492
"d3_man_pfba",0.957046104631208,4.78678612365169,0.957472006855352,0.205432858482991,0.841830363270258,0.289802104902084
"d3_pyr_pfba",0.917579780931241,0.181154349606565,0.24178681167773,0.93314718603801,1,0.0452391361661425
"d5_etoh_pfba",0.827051143661266,1.936573689779,0.752041701482016,0.960822690034312,0.0675771246750236,0.136134462709384
"d5_glu_pfba",0.861042130151936,0.557463031138624,0.572545274290885,0.25475572466738,0.0692366494490788,0.0766823701165094
"d6_mae1_pfba",0.892163538060642,0.609060154398501,0.113106397480063,0.600176036307426,0.994807221967389,0.448435657685122
"d6_wt_pfba",0.892563763031793,0.597803380956224,0.0966009269289099,0.617058845842599,0.92826188104138,0.489179743249005
"d7_adh3_pfba",0.998802986260036,1.07854320094361,0.221579051157365,5.9139426906278,0.945378509007876,0.693491159453803
"d7_ald5_pfba",0.998551848867986,1.61190913461371,0.246700751401959,6.63070143577731,0.946246097613031,0.297789284739356
"d7_ald6_pfba",0.99858549128992,0.329861836920022,0.269900262409633,1.92579726266176,0.894624274254586,0.134970883364224
"d7_cox5a_pfba",0.99746182987753,0.920372549885565,0.256623387472382,5.31616662663538,0.94562668758135,0.295371673635895
"d7_ctp1_pfba",0.998297444281485,1.21595682883548,0.238833813405066,5.56711078251049,0.94486506962419,0.697145296478799
"d7_dal7_pfba",0.998836445089354,1.08513912287366,0.230999310626117,6.03560843962244,0.945115595164658,0.294533743879777
"d7_fum1_pfba",0.997463599069572,0.822801031683028,0.259996341543428,3.55706884776578,0.944330473332796,0.346482708746207
"d7_gcv2_pfba",0.998945157673318,0.948371215352076,0.290220346696563,6.60239168547361,0.938895105365775,0.323366811134578
"d7_gly1_pfba",0.998953544561473,1.10104917944161,0.233011590012048,5.55648737189208,0.94473334950179,0.194025077330164
"d7_gnd2_pfba",0.998972240346682,1.24020181593248,0.221103698286051,6.76471679034429,0.944237366588649,0.229605076052084
"d7_gpd1_pfba",0.999053245661021,0.985160071333383,0.222504562644384,6.94509176645399,0.944842233113666,0.431974351265669
"d7_icl1_pfba",0.999038108156695,1.03944152546942,0.22079988926406,6.82619586493687,0.944100623410116,0.214780450893985
"d7_idp1_pfba",0.998357045298186,1.32089250449895,0.236363485356645,6.16183843371773,0.944073026594975,0.706752321778151
"d7_idp2_pfba",0.998684519129732,0.98211901173339,0.244661709274077,5.53078388207793,0.943303594698893,0.124367756955527
"d7_lsc1_pfba",0.998513555091279,1.39577226643366,0.227629282816841,7.55638521311447,0.945383643982529,0.422832339018477
"d7_mae1_pfba",0.997087060270491,1.35158095621565,0.266025951445621,4.69532966330186,0.953014505489189,0.49552773495492
"d7_mdh1_pfba",0.998075044449771,0.96990748818096,0.264788100337708,4.0125486701394,0.945598101177394,0.266818446580223
"d7_mdh3_pfba",0.998329137434919,1.36034477129649,0.245748913278098,5.72907472627145,0.945817686742672,0.56836987399553
"d7_oac1_pfba",0.82862657281872,6.94665659999824,0.226347678688767,4.88439747709142,0.320325826622876,9.26350591775252
"d7_pck1_pfba",0.833845127209865,8.00668265503035,0.235675637013262,5.7214775361912,0.324745303146023,10.8433602405673
"d7_pda1_pfba",0.748582502267972,5.38120655738777,0.224722530703585,3.39105265197474,0.0586971609791683,6.04109596785233
"d7_pgm1_pfba",0.81590165272568,8.88098285604872,0.282473158463988,5.73397101820418,0.336314302536417,11.3455756266662
"d7_pgm2_pfba",0.817462059086321,9.83747103037871,0.251780434949742,6.5952736195589,0.331195402437729,12.8329063136536
"d7_rpe1_pfba",0.710193704841648,3.21467144286704,0.377542540163398,1.47293103544094,0.339813129865957,3.4684728561851
"d7_sdh1_pfba",0.833845127271155,8.00668264437824,0.235675637601414,5.72147753425704,0.324745302912032,10.8433602500464
"d7_ser33_pfba",0.836060597745712,8.55674037731273,0.232572394204036,6.0459718605295,0.319139648961795,11.3270665445341
"d7_sfc1_pfba",0.825989460594874,7.77681697130424,0.258456881372352,5.31275806611481,0.332398976786797,10.3352046641033
"d7_sol3_pfba",0.804597618253021,7.62600764415156,0.274734514132345,4.81386428528613,0.337214904785766,9.70974693342028
"d7_sol4_pfba",0.834152585064892,9.46499899765439,0.235808390158745,6.78113561321584,0.325320443826244,12.8110565275888
"d7_tal1_pfba",0.818867077211356,7.36840168125081,0.270989554024271,4.8843736207957,0.336899844993214,9.70585949813705
"d7_zwf1_pfba",0.663880425798291,5.12491483165412,0.3006732856908,2.82054791652188,0.060920385406908,5.03781713475691
"d8_etoh_pfba",0.962801989578219,2.0998949437125,0.521025793905928,1.16623411959011,0.178922735926601,0.04279140627538
"d8_gal_pfba",0.991018837087768,0.261715664805376,0.970451903521948,0.0619762906459153,0.920137808155828,0.107933230050051
"d8_glu_pfba",0.998884555904383,0.113617647736938,0.989322483254893,0.0445587335962789,0.856977600853839,0.060711496699329
"d8_gly_pfba",0.895742368675315,0.851721822462516,0.0492865861872753,0.712201672950834,0.21275373411259,0.275336150362624
"d9_batch_pfba",0.999771788001442,0.75621444377461,0.981226988055485,0.517781649433116,0.578582169309481,1.38359222244383
"d9_chem_pfba",0.892560536160589,0.466304834384252,0.0213118253545451,0.712007368403747,0.890414815609153,0.398115273702163
