"","R2_fba","RMSE_fba","R2_pfba","RMSE_pfba","R2_lmoma","RMSE_lmoma"
"d13_ferm",0.970274261332957,1.3273831443005,0.969198148583602,1.33802358905966,NA,NA
"d13_oxi",0.455788828435047,0.825785700293815,0.569247317019046,0.739325624425965,NA,NA
"d13_rferm",0.484461762712535,2.86440581994436,0.825165150199665,1.69504056270233,NA,NA
"d14_hxk2",0.74466307921051,0.686603585513167,0.910301326799496,0.407141950000345,0.910301305283932,0.407141980780225
"d14_wt",0.900696825856639,0.427402499574165,0.993804752117073,0.106314310957225,NA,NA
"d3_gal",0.895458712487196,1.11210220011082,0.945230328422569,0.879759225219899,NA,NA
"d3_glu",0.955202286760277,2.94957236110538,0.952519093139486,3.02979211624326,NA,NA
"d3_man",0.951739842245964,2.43067113139072,0.951729571130757,2.43092462866861,NA,NA
"d3_pyr",0.619584190529839,0.516728338261367,0.649355914075311,0.503629753100912,NA,NA
"d5_etoh",0.170339083909514,2.21436731849116,0.594648082044341,1.09175969624927,NA,NA
"d5_glu",0.764874681865212,0.386171840328805,0.764370094455096,0.38495889814852,NA,NA
"d6_mae1",0.145154689926333,1.35187023848378,0.710630499840016,0.562812826962496,0.710630521612053,0.56281280174537
"d6_wt",0.688202489769754,0.579557195935188,0.695315499976542,0.573927926587801,NA,NA
"d7_adh3",0.917322750637554,3.7851879592784,0.917399717120273,3.74673980644371,0.915413955494755,3.73346696682909
"d7_ald5",0.78309906753282,6.78229011543789,0.919490770726675,4.23242917855692,0.919326594104169,4.19791589083099
"d7_ald6",0.917856094817996,1.21946939463783,0.918386147937489,1.21374571465031,0.696283558407158,3.2034517086402
"d7_cox5a",0.831538388711184,5.03613145246969,0.916421441949429,3.34982867098467,0.913176595558009,3.39856004084235
"d7_ctp1",0.70696011272218,6.70774875156938,0.918842014187476,3.5540334879574,0.917883659763237,3.50542824082993
"d7_dal7",0.708070705062646,7.06226183492439,0.91540478370207,3.81587441637347,0.913237448304809,3.80512793288405
"d7_fum1",0.919065984574312,2.28321448090071,0.919285803152625,2.27839428069584,0.882889226139086,2.82595993143099
"d7_gcv2",0.701976069282352,8.30197928655517,0.921484583689872,4.1457996475757,0.917553723108987,4.2425234422777
"d7_gly1",0.916005004879276,3.52937034225526,0.916096694401885,3.52015372320782,0.910582738137539,3.55886527726515
"d7_gnd2",0.912873563349346,4.27971831837854,0.912979918762916,4.27880512973922,0.912075374546435,4.26210299350338
"d7_gpd1",0.707561487949279,8.13753524889025,0.915285936701612,4.36307356210254,0.915141736846136,4.36718536433023
"d7_icl1",0.912034662592982,4.30976861104028,0.911983709532063,4.30282132782694,0.911360322346974,4.29151749141762
"d7_idp1",0.917206915070795,3.93661246759662,0.91738199626378,3.92603061470413,0.913953268867141,3.9334948458855
"d7_idp2",0.916690104752513,3.5034765485786,0.91679896016741,3.49349374719619,0.913803311835367,3.51108043042296
"d7_lsc1",0.766865229925373,7.76821447360287,0.913753191148262,4.78694405023607,0.913771223758845,5.00079368308047
"d7_mae1",0.840274845377468,4.6092557924514,0.923965024773281,3.03153017040675,0.921858453946719,2.9967200174117
"d7_mdh1",0.919601849511735,2.5659288642496,0.919678382025104,2.567901728134,0.86625079243885,3.4749169354094
"d7_mdh3",0.920045903980688,3.6785992222543,0.920771071999871,3.65977851028606,0.92048429612079,3.60096736778915
"d7_oac1",0.545724138396789,7.22924212747743,0.666097852769436,6.09992222407782,0.662560902709476,6.26707688889141
"d7_pck1",0.669021868276523,7.09992773062161,0.669176979293081,7.09418692160989,0.673869015660855,7.14050137986605
"d7_pda1",0.596878374653492,4.43760673578339,0.602782384015453,4.39392357633468,0.541875147202704,5.5173238847144
"d7_pgm1",0.659834749678232,7.54768375364412,0.663102602700159,7.51566943737458,0.664908858740743,7.58045525497962
"d7_pgm2",0.495408091935792,10.7151303594112,0.661719379023175,8.4640192426085,0.663092166790623,8.49264557890804
"d7_rpe1",0.585066895394543,2.42111207908029,0.588264967192717,2.40907844328687,0.501973366833585,3.67246395397165
"d7_sdh1",0.499915730058943,9.0356554991801,0.669164893136813,7.09422197016479,0.673867974838773,7.1404881526412
"d7_ser33",0.540052882064919,9.04493919207597,0.672026859812792,7.49298353140165,0.676051457670285,7.52055172195468
"d7_sfc1",0.666320662930914,6.7897348320454,0.666855454638565,6.76650270270542,0.666301563283003,6.85104677473355
"d7_sol3",0.491708098362341,8.12098167056956,0.656993437103616,6.41462793919666,0.655104316519185,6.52051047973122
"d7_sol4",0.603054165730688,9.47871432121259,0.669569769622961,8.39105263949136,0.672533154638991,8.38265386094488
"d7_tal1",0.665859558852255,6.35488654022325,0.666123558906164,6.34812387691438,0.664792077915046,6.47001193978218
"d7_zwf1",0.526011030902043,3.91968192340276,0.53821749223173,3.85128582080156,0.542282301025099,4.30364602299877
"d8_etoh",0.0177299047806722,2.54331814665559,0.096127943470851,2.23556842744014,NA,NA
"d8_gal",0.984444658504686,0.164455989445285,0.98507322152772,0.162627446144324,NA,NA
"d8_glu",0.997898151380879,0.0798678549172744,0.997900271997747,0.0798526727684402,NA,NA
"d8_gly",0.41785918311115,0.855198191762705,0.468207762410602,0.765410328201848,NA,NA
"d9_batch",0.996824406393269,0.89825288008736,0.996824415997167,0.898243924417182,NA,NA
"d9_chem",0.547549701302369,0.557737569125536,0.546236843276901,0.558707412773515,NA,NA
