,MDH1_real_flux,MDH1_sim_flux
r_0534,10.0,11.618688413089318
r_0962,-16.87885419,-16.354367921571583
r_0961,14.44997016,0.5127300659215452
r_0718,0.0,0.45559354176465716
r_2131,0.615675353,0.28321847211973805
r_0713,0.0,0.0
r_0300,-0.615675353,-0.3717788102362387
r_1022,-0.328227571,-2.5368806552482243e-06
r_0454,0.0,-0.0
r_0366,17.04495723,16.47253631529303
r_1054,-9.12174259,-8.922998018881168
r_0486,17.04495723,17.962619111346875
r_0450,9.12174259,13.673589662042417
r_0452,-0.207877462,-0.28371899577395837
r_0302,0.615675353,0.28321847211973805
r_0892,-17.04495723,-17.962619111346875
r_0893,-17.04495723,-16.47253631529303
r_0889,0.701213447,0.5335871812684891
r_1049,-0.227770042,-0.16645835972521272
r_1048,0.227770042,4.9141499048445985
r_1050,0.144221205,0.10737416286448931
r_0466,0.701213447,0.5335871812684891
r_0467,8.749751343,8.832671654598087
r_0886,9.12174259,13.893046457966756
r_0959,14.44923658,14.563404408384288
r_2115,13.34298111,23.655222413348003
r_2116,1.106255472,0.0
r_0112,0.410049698,0.1301656000795307
r_2034,1.286958042,0.34736644621920204
r_1239,0.751534857,0.3717788102362387
r_4041,0.29,0.22354974218964457
