,OAC1_real_flux,OAC1_sim_flux
r_0534,11.7,11.7
r_0962,-20.06035069,-18.42422483058623
r_0961,17.54642764,0.6758351273929857
r_0718,0.0,0.0
r_2131,0.650170113,0.29522637828113574
r_0713,0.058178487,14.319345939032932
r_0300,-0.701203873,-0.3992214499883673
r_1022,-0.3541743,-0.0
r_0454,0.058178487,-0.0
r_0366,19.9695106,18.631359163589607
r_1054,-10.61604292,-9.928719405721584
r_0486,19.9695106,19.988650486102642
r_0450,10.61604292,9.712273010669449
r_0452,-0.21332112,-0.14717666314641065
r_0302,0.0,0.29522637828113574
r_0892,0.650170113,-19.9886504861027
r_0893,-19.9695106,-18.631359163589607
r_0889,-19.9695106,0.6765909859376718
r_1049,1.246244439,-0.22004828301635548
r_1048,-0.409290762,0.0
r_1050,0.409290762,0.11648111651466665
r_0466,1.246244439,0.6765909859376718
r_0467,9.88217744,9.912540454411788
r_0886,10.61604292,9.712273010669449
r_0959,17.54741041,16.295193844287557
r_2115,16.19469244,0.0
r_2116,1.352717976,0.0
r_0112,0.740287271,0.09434025753847264
r_2034,1.076760674,0.0
r_1239,1.056488168,0.0
r_4041,0.29,0.3918545838126706
