,GLY1_sim_flux,GLY1_real_flux
r_0534,14.359159937156507,13.1
r_0962,-21.821803417840172,-22.86753505
r_0961,0.6503761536255674,19.91448931
r_0718,0.1754691355718227,0.084315378
r_2131,0.29988377047331033,0.797984829
r_0713,0.4433705625097094,0.054202743
r_0300,-0.4433705625097094,-0.797984829
r_1022,-1.791442200594203e-06,-0.479794652
r_0454,-0.0,0.138518121
r_0366,21.94388682998478,22.84545246
r_1054,-11.765593111492228,-12.04304651
r_0486,23.519821323804212,22.84545246
r_0450,13.893046457966756,12.04304651
r_0452,-0.27108010118265674,-0.209784691
r_0302,0.29988377047331033,0.797984829
r_0892,-23.519821323804212,-22.84545246
r_0893,-21.94388682998478,-22.84545246
r_0889,0.21303961839655472,1.021822083
r_1049,-0.05987171583048445,-0.334250249
r_1048,2.1838451767189526,0.334250249
r_1050,-0.023839903956418343,0.241904835
r_0466,0.21303961839655472,1.021822083
r_0467,11.989063783291337,11.46789518
r_0886,13.893046457966756,12.04304651
r_0959,19.653142039830605,19.91421387
r_2115,19.553956247671756,18.75719149
r_2116,0.0,1.157022378
r_0112,0.1301656000795307,0.454391511
r_2034,0.7984675368232033,1.45823332
r_1239,0.0,0.790674845
r_4041,0.3167295489477963,0.318
