,PCK1_maximum,PCK1_minimum,PCK1_real_flux
r_0534,13.40029300061392,13.399798562056795,13.4
r_0962,-21.740346817029483,-21.739354895864636,-23.16295957
r_0961,0.7222145467924737,0.7214443738066871,20.49176794
r_0718,0.0010359666117250865,0.0,0.0
r_2131,0.31636693835979135,0.31170508920064544,0.709791332
r_0713,1000.0,0.42529233771537467,0.0
r_0300,-0.42670623953718056,-0.4263113038944263,-0.709791332
r_1022,-0.0004028758848235725,-0.0,-0.409691967
r_0454,-6.743809693118946,-0.0,0.0
r_0366,21.961586771490882,21.960594850373177,23.33605442
r_1054,-11.45802732849713,-11.456576975369515,-12.4105939
r_0486,23.10627150916679,23.10482115599971,23.33605442
r_0450,11.461874501163415,-0.0004028758563726642,12.4105939
r_0452,-0.15749522337195643,-0.15608357668085793,-0.214064053
r_0302,1000.0,-999.5735920058817,0.0
r_0892,-23.106271509446525,-23.104821155902815,0.709791332
r_0893,-21.96158677151964,-21.96059485041409,-23.33605442
r_0889,0.8772265694069827,0.872875509519127,-23.33605442
r_1049,-0.2865534895009921,-0.28510313637918117,0.936146144
r_1048,0.2865534895009921,-11.176771364710621,-0.306244745
r_1050,0.1759335122282405,0.17448315910654433,0.306244745
r_0466,0.8772265692429476,0.8728755099730291,0.936146144
r_0467,11.340606996356897,11.336255936592309,11.88516395
r_0886,11.46187450095953,0.0,12.4105939
r_0959,19.466328105083505,19.464667767946253,20.49186441
r_2115,1000.0,0.0,19.34656322
r_2116,0.0006305883685239954,0.0,1.145301192
r_0112,0.10130189376628351,0.1002068977292852,0.428345233
r_2034,1.1386983337698717,0.0,1.412618456
r_1239,0.00111565643094802,0.0,0.953822169
r_4041,0.4185394524130692,0.4185394524130692,0.4
