,ALD6_real_flux,ALD6_sim_flux
r_0534,4.7,5.224344419994404
r_0962,-7.92152646,-8.543550688195552
r_0961,6.899873498,0.1721797467425621
r_0718,0.013873076,0.019376109122460516
r_2131,0.267552182,0.02869295470616301
r_0713,0.03963736,0.31305953476065146
r_0300,-0.267552182,-0.1721797467425621
r_1022,-0.131794223,-0.0
r_0454,0.052519502,-0.0
r_0366,8.000801181,8.543550688195552
r_1054,-4.359118701,-4.700000000000001
r_0486,8.000801181,9.400000000000006
r_0450,4.359118701,13.893046457966756
r_0452,-0.207105208,-0.2030664233319972
r_0302,0.267552182,0.02869295470616301
r_0892,-8.000801181,-9.400000000000006
r_0893,-8.000801181,-8.543550688195552
r_0889,0.110984609,0.0
r_1049,-0.03468269,-0.0
r_1048,0.03468269,9.193046457966755
r_1050,-0.00495467,0.0
r_0466,0.110984609,0.0
r_0467,4.330381615,4.700000000000001
r_0886,4.359118701,13.893046457966756
r_0959,6.899173337,7.1573018098369
r_2115,6.674968524,7.704703719592525
r_2116,0.224204813,0.0
r_0112,0.194478046,0.030979807920682056
r_2034,0.57206456,0.1523754350394177
r_1239,0.365297488,0.0
r_4041,0.1387,0.0
