,RPE1_maximum,RPE1_minimum,RPE1_real_flux
r_0534,4.600168090887162,4.599884437511884,4.6
r_0962,-5.307149759061651,-5.30658620165932,-7.703642894
r_0961,0.4254683597069896,0.42499573119445977,4.526834274
r_0718,0.04061071846493314,0.0,0.330425859
r_2131,0.2263337015351598,0.1852607329736884,1.607285788
r_0713,1000.0,0.25083673095323245,0.598306824
r_0300,-0.25141044903163956,-0.25108525241807733,-1.607285788
r_1022,-0.00023112490794474638,-0.0,-1.413750641
r_0454,-7.35148668093429,-0.0,0.941713699
r_0366,5.437455209438646,5.436891652123724,7.625756798
r_1054,-3.591641320003742,-3.591421817952796,-4.019394561
r_0486,7.159900295427023,7.159587407799965,7.625756798
r_0450,3.5940610734159137,-0.00023112498001118253,4.019394561
r_0452,-0.09285102166368242,-0.09221707879100904,-0.246639302
r_0302,1000.0,-999.6220784270829,0.0
r_0892,-7.159900295447592,-7.159587407733633,1.607285788
r_0893,-5.437455209395596,-5.436891652010951,-7.625756798
r_0889,0.10810815135875551,0.10807513349958339,-7.625756798
r_1049,-0.03259891139758331,-0.03257636260209429,0.414212417
r_1048,0.03280748762922858,-3.5614847108354253,-0.134530528
r_1050,-0.03257636260208653,-0.03259891138072302,0.134530528
r_0466,0.10810815135622054,0.10807513349953977,0.414212417
r_0467,3.7930922494690833,3.792976686968867,3.797537199
r_0886,3.594061073441271,0.0,4.019394561
r_0959,3.967703904300606,3.966547785984744,4.526713355
r_2115,1000.0,0.0,3.9261436
r_2116,0.0009245002670139613,0.0,0.600569756
r_0112,0.0596563663182792,0.05907427371961386,0.2465361
r_2034,0.7099877687040368,0.0,1.719458818
r_1239,0.0003081666408789596,0.0,1.06240127
r_4041,0.24651050020492477,0.24651050020492477,0.1316
