,ZWF1_real_flux,ZWF1_sim_flux
r_0534,6.5,8.81144947751131
r_0962,-11.19372211,-10.962395734693446
r_0961,6.330973996,0.932480864556227
r_0718,1.060163102,0.06817979983501166
r_2131,3.730573934,0.37324843983068395
r_0713,2.351361748,0.5508242287886715
r_0300,-3.800584705,-0.5508242287886715
r_1022,-3.571549469,-0.0
r_0454,3.521541776,-0.0
r_0366,11.26373288,10.56127168217753
r_1054,-6.11494076,-6.1043705593508335
r_0486,11.26373288,12.155205211957043
r_0450,6.11494076,9.91555674537617
r_0452,-0.209032159,-0.5699988143452699
r_0302,0.0,0.4073374367522725
r_0892,3.730573934,-12.155205211957043
r_0893,-11.26373288,-10.56127168217753
r_0889,-11.26373288,0.0
r_1049,0.079012156,0.00014872946449528968
r_1048,-0.023003539,3.8101611000293687
r_1050,0.023003539,-0.06976700228041409
r_0466,0.079012156,0.0
r_0467,6.11494076,6.247235027712177
r_0886,6.11494076,13.893046457966756
r_0959,6.33120703,8.286924102233511
r_2115,5.602576212,8.156263164139649
r_2116,0.728630818,0.0
r_0112,0.228521569,0.13576991298260338
r_2034,3.113727501,1.3635779882857844
r_1239,1.862792455,0.0
r_4041,0.16,0.08916186542305637
