,GPD1_maximum,GPD1_minimum,GPD1_real_flux
r_0534,16.400351858550845,16.399758097233104,16.4
r_0962,-26.82179491715422,-26.820603742849663,-28.26898784
r_0961,0.8663932493924449,0.8654683667345782,24.88500397
r_0718,0.0012440712502055362,0.0,0.0
r_2131,0.37952568769521966,0.37392736670343296,0.809431311
r_0713,1000.0,0.510193571276945,0.009015943
r_0300,-0.5118914945443085,-0.5114172271292948,-0.809431311
r_1022,-0.00048380547996984546,-0.0,-0.439777656
r_0454,-7.760615159685289,-0.0,0.009015943
r_0366,27.087201791733246,27.086010617448732,28.18684259
r_1054,-14.052040622463464,-14.050298922406101,-14.97848635
r_0486,28.350575550765647,28.348833850826853,28.18684259
r_0450,14.056655819689169,-0.00048380553254467884,14.97848635
r_0452,-0.1889369245879835,-0.18724170643761395,-0.209370228
r_0302,1000.0,-999.4884666595618,0.809431311
r_0892,-28.350575550738313,-28.34883385087521,-28.18684259
r_0893,-27.087201791678595,-27.08601061742832,-28.18684259
r_0889,1.1072672150519622,1.1020421150622393,1.639899823
r_1049,-0.36206477696378975,-0.3603230769244057,-0.538953027
r_1048,0.36206477696378975,-13.696332742917681,0.538953027
r_1050,0.22936133970648662,0.22761963966710397,0.438775884
r_0466,1.1072672149438256,1.102042115134108,1.639899823
r_0467,13.874571678715421,13.869346579091513,14.00175921
r_0886,14.05665581989113,0.0,14.97848635
r_0959,24.093805751994715,24.091811886588516,24.88597192
r_2115,1000.0,0.0,23.97020537
r_2116,0.0007572608012554228,0.0,0.915766551
r_0112,0.12152582100548454,0.12021086230223074,0.515045924
r_2034,1.366024351853056,0.0,1.673832061
r_1239,0.0013397691271940237,0.0,0.937105837
r_4041,0.5020939737320722,0.5020939737320722,0.34
