,ethanol exp flux,maximum,minimum
r_0962,-0.3079,-0.0017993223833716598,-0.0
r_0961,0.03,0.0003598644956253061,0.0
r_2131,0.1089,0.1831052499294726,0.0
r_0713,4.0837,1000.0,2.7534008417794835
r_0300,-0.8712,-2.7558006160740924,-2.7544899946272605
r_1022,-0.2272,-0.0008996613744094439,-0.0
r_0454,2.2813,-12.882822175346707,-0.0
r_1054,-0.5576,0.6680036019999774,0.668265003792393
r_0486,1.104,-1.3768006399562278,-1.3770620417515216
r_0450,0.5576,0.0004498305331437913,-0.6669282126557273
r_0452,-2.2813,-2.3573571673326796,-2.354524489524737
r_0302,2.4765,1000.0,-996.0764100909487
r_0892,-1.104,1.376800639963254,1.3770620417495874
r_0893,-1.2092,1.376800639963254,1.3774984053800103
r_0889,0.1934,0.0003598643897266872,0.0
r_1049,-0.0638,0.0022492490589681724,0.0023873857314540663
r_1048,-0.0638,0.6645588394462315,-0.0028192039049545372
r_1050,-0.0526,-0.04700840519442384,-0.04714654186691117
r_0466,0.1934,0.0003598644537611273,0.0
r_0467,0.6327,-0.48008979087515785,-0.48044979087446754
r_0886,1.1059,0.0004498304959277277,0.0
r_0959,0.0225,0.0001499435387092296,0.0
r_0163,5.0,1000.0,4.99995000000002
r_2116,0.9369,0.001799322711340423,0.0
r_0112,4.9775,4.720788919574741,4.718922749822874
r_0958,0.2422,0.0005997741427385961,0.0
r_0716,2.056,2.095051635747133,2.0938518618229747
r_0714,2.668,1.6917899733627229,-995.5555858635818
r_0662,2.056,2.2937510702545096,2.2919410370220112
r_0366,1.2092,-1.3768006399493702,-1.3774984053878407
r_0832,0.2272,0.29005277749722524,0.28891584109729695
r_0884,1.6222,1.4682160397580333,1.4663189403446075
r_0091,0.1934,0.00035986452551618406,0.0
r_0984,0.1033,-0.049257654349575686,-0.04953392759811752
r_0982,0.1164,0.049282206134885154,0.04916225132849032
r_0718,0.3042,0.29613213641899216,0.11098697688794779
r_2034,0.03,0.0017993226763745873,0.0
