,PGM1_real_flux,PGM1_sim_flux
r_0534,14.7,14.7
r_0962,-24.43659766,-22.33945615650834
r_0961,20.59641787,0.9152480565468386
r_0718,0.319347589,0.0
r_2131,1.460589758,0.3998095955821116
r_0713,0.341371561,0.5406446652797079
r_0300,-1.460589758,-0.5406446652797079
r_1022,-1.071165895,-0.0
r_0454,0.680740943,-0.0
r_0366,24.62280033,22.61996731676242
r_1054,-13.55575456,-12.364933805589057
r_0486,24.62280033,24.84387451104007
r_0450,13.55575456,12.135497995586093
r_0452,-0.209227731,-0.19931363352209208
r_0302,0.0,0.3998095955821116
r_0892,1.460589758,-24.84387451104007
r_0893,-24.62280033,-22.61996731676242
r_0889,-24.62280033,0.7252131140818037
r_1049,0.76683465,-0.23431365790629677
r_1048,-0.247269136,0.0
r_1050,0.247269136,0.09405807777925723
r_0466,0.76683465,0.7252131140818037
r_0467,13.16833288,12.470395875316072
r_0886,13.55575456,12.135497995586093
r_0959,20.59646492,19.456221187567394
r_2115,19.35261561,19.358868408587156
r_2116,1.243849311,0.0
r_0112,0.543098568,0.12776006139143453
r_2034,2.050018089,1.4437646976538425
r_1239,1.566519199,0.0
r_4041,0.37,0.530668104907448
