,MDH3_real_flux,MDH3_sim_flux
r_0534,14.4,14.4
r_0962,-24.35051771,-22.200711542525646
r_0961,20.60043597,0.8706284546924963
r_0718,0.150081744,0.0
r_2131,1.228119891,0.3803183277833909
r_0713,0.19226158,1.1807158478568978
r_0300,-1.228119891,-0.5142874940878234
r_1022,-0.833787466,-0.0
r_0454,0.343324251,-0.0
r_0366,24.5800545,22.46754739782092
r_1054,-13.00021798,-12.156063093787097
r_0486,24.5800545,24.44328349533646
r_0450,13.00021798,11.915104194047576
r_0452,-0.205013624,-0.18959681969442954
r_0302,1.228119891,0.5142874940878869
r_0892,-24.5800545,-24.44328349533649
r_0893,-24.5800545,-22.46754739782092
r_0889,1.540054496,0.7579831804222492
r_1049,-0.505177112,-0.2455989458471592
r_1048,0.505177112,0.0
r_1050,0.390408719,0.11218101819952322
r_0466,1.540054496,0.7579831804222492
r_0467,12.10463215,12.210966940318261
r_0886,13.00021798,11.915104194047576
r_0959,20.60010632,19.458038244758313
r_2115,19.3487862,19.365431547680615
r_2116,1.251320122,0.0
r_0112,0.564675372,0.12153158264035388
r_2034,2.001353149,0.0
r_1239,1.14458781,0.0
r_4041,0.405,0.5047973047583654
