,PGM2_real_flux,PGM2_sim_flux
r_0534,16.1,16.1
r_0962,-28.16198383,-25.050064887639046
r_0961,23.43611318,0.9547751262741485
r_0718,0.472587065,0.0
r_2131,1.646044776,0.41707628262852736
r_0713,0.44755597,0.5639936352440443
r_0300,-1.646044776,-0.5639936352440443
r_1022,-1.210503731,-0.0
r_0454,0.920143035,-0.0
r_0366,27.77750622,25.342690560577793
r_1054,-14.76734453,-13.620981782875454
r_0486,27.77750622,27.404000989257142
r_0450,14.76734453,13.338530389115757
r_0452,-0.20925995,-0.20792144627142367
r_0302,0.0,0.41707628262852736
r_0892,1.646044776,-27.404000989257142
r_0893,-27.77750622,-25.342690560577793
r_0889,-27.77750622,0.885853721287893
r_1049,1.00625,-0.28753990262298945
r_1048,-0.326405473,0.0
r_1050,0.326405473,0.1412270661536139
r_0466,1.00625,0.885853721287893
r_0467,14.23468284,13.644784719472474
r_0886,14.76734453,13.338530389115757
r_0959,23.43691632,22.042310856524278
r_2115,21.9307518,21.940753676283226
r_2116,1.506164522,0.0
r_0112,0.605022064,0.13327767032692078
r_2034,2.193518792,1.5061169610172442
r_1239,3.215045295,0.0
r_4041,0.41,0.5535862144130779
