,ALD6_maximum,ALD6_minimum,ALD6_real_flux
r_0534,4.700105547044587,4.699927436395651,4.7
r_0962,-7.545980376697839,-7.545529812832728,-7.92152646
r_0961,0.2598456754799372,0.2596274331486633,6.899873498
r_0718,0.0003731843454947842,0.0,0.013873076
r_2131,0.11382609232793464,0.11214676267706442,0.267552182
r_0713,1000.0,0.15301541112296388,0.03963736
r_0300,-0.15352473727174987,-0.15338710202418712,-0.267552182
r_1022,-0.00014512721818515928,-0.0,-0.131794223
r_0454,-2.5581962322884464,-0.0,0.052519502
r_0366,7.6255802842481835,7.625129720360787,8.000801181
r_1054,-4.002483639635301,-4.001961181622619,-4.359118701
r_0486,8.072219537785728,8.071697079829272,8.000801181
r_0450,4.003897382998024,-0.00014512739567651423,4.359118701
r_0452,-0.056665324939823014,-0.05615681015319751,-0.207105208
r_0302,1000.0,-999.8465826980965,0.267552182
r_0892,-8.072219537635192,-8.071697079935573,-8.000801181
r_0893,-7.625580284142504,-7.625129720361771,-8.000801181
r_0889,0.3120616440205559,0.3104055616001681,0.110984609
r_1049,-0.10191384596740437,-0.10136181834527269,-0.03468269
r_1048,0.10191384596740437,-3.902535564958454,0.03468269
r_1050,0.062113892205046164,0.06156186458291302,-0.00495467
r_0466,0.31206164545824955,0.3104055611917257,0.110984609
r_0467,3.9626973939926975,3.961041310912144,4.330381615
r_0886,4.003897383181362,0.0,4.359118701
r_0959,6.727771195559447,6.727152853705547,6.899173337
r_2115,1000.0,0.0,6.674968524
r_2116,0.027779203893904203,0.02732743548959945,0.224204813
r_0112,0.03644763651689699,0.03595602927694578,0.194478046
r_2034,0.409693463932573,0.0,0.57206456
r_1239,0.0004018910736348358,0.0,0.365297488
r_4041,0.15058627984239747,0.15058627984239747,0.1387
