,MAE1_real_flux,MAE1_sim_flux
r_0534,12.5,13.508821061404465
r_0962,-20.82975148,-20.100995792274322
r_0961,16.87636761,0.9294925574139763
r_0718,0.0,0.0
r_2131,1.239645202,0.4073374367522725
r_0713,0.469873398,0.5508242287886715
r_0300,-1.239645202,-0.5508242287886715
r_1022,-0.841083151,-0.0
r_0454,0.469873398,-0.0
r_0366,20.73011097,20.092810029432798
r_1054,-11.15387621,-10.782346971371064
r_0486,20.73011097,21.776093275333118
r_0450,11.15387621,11.897792510555938
r_0452,-0.204165364,-0.29405179679528326
r_0302,1.239645202,0.40733743675227246
r_0892,-20.73011097,-21.776093275333118
r_0893,-20.73011097,-20.092810029432798
r_0889,1.351008128,0.9921694949498683
r_1049,-0.441544233,-0.3373032138626823
r_1048,0.441544233,1.4481210936034783
r_1050,0.326273836,0.1914169341425967
r_0466,1.351008128,0.9921694949498683
r_0467,10.38605814,10.535385656855311
r_0886,11.15387621,13.893046457966756
r_0959,16.87700748,17.265844782442276
r_2115,15.72084501,17.20448607445481
r_2116,1.15616247,0.0
r_0112,0.570021808,0.1301656000795307
r_2034,2.172602845,1.5297336764412282
r_1239,1.708313362,0.0
r_4041,0.411,0.3430261554886658
