,glucose exp flux,Sim Flux
r_0534,16.3,16.3
r_0723,0.0,-0.380690621326843
r_0962,-28.199,-27.250208655490923
r_0961,0.163,0.8122670317539491
r_2131,0.326,0.35482419344925964
r_0713,0.0,0.47981291449799557
r_0300,-0.326,-0.47981291449799557
r_1054,-15.159,-14.045057912086119
r_0486,28.199,28.373905689879006
r_0450,28.199,14.049386918861327
r_0892,-28.199,-28.373905689879006
r_0889,1.141,1.191446325922936
r_1049,-0.326,-0.39056006047266273
r_1048,0.326,0.39056006047266273
r_1050,-0.326,0.2660856265289837
r_0466,1.141,1.191446325922936
r_0467,14.507,13.773432324145412
r_0886,15.159,14.049386918861327
r_2116,1.467,0.0
r_0112,0.652,0.1133848742980797
r_0091,1.141,1.191446325922936
r_0958,0.978,1.0780719891807635
r_2034,0.978,0.0
r_4041,0.33,0.4709588874146009
