,LSC1_real_flux,LSC1_sim_flux
r_0534,17.8,17.8
r_0962,-31.06065037,-28.52927768786355
r_0961,27.13509385,0.9874010477555332
r_0718,0.0,0.0
r_2131,0.780838062,0.4313283276120252
r_0713,0.002913575,22.77072824380548
r_0300,-0.780838062,-0.5832660393453786
r_1022,-0.37196639,-0.0
r_0454,0.002913575,-0.0
r_0366,30.42160629,28.831902764814842
r_1054,-16.34127019,-15.172357749846087
r_0486,30.42160629,30.576202675947115
r_0450,16.34127019,14.816341899644089
r_0452,-0.202979048,-0.21502639549555624
r_0302,0.780838062,0.4313283276120252
r_0892,-30.42160629,-30.576202675947172
r_0893,-30.42160629,-28.831902764814842
r_0889,1.628688346,1.1078626705258405
r_1049,-0.534155391,-0.36127824010393894
r_1048,0.534155391,0.0
r_1050,0.415670013,0.20996570162829428
r_0466,1.628688346,1.1078626705258405
r_0467,15.39047359,15.0691486222301
r_0886,16.34127019,14.816341899644089
r_0959,27.13472592,25.418744746664284
r_2115,25.29636408,0.0
r_2116,1.838361843,0.0
r_0112,0.770065103,0.13783194356639655
r_2034,1.548743271,0.0
r_1239,0.788324055,0.0
r_4041,0.423,0.572502983260101
