,PGM1_maximum,PGM1_minimum,PGM1_real_flux
r_0534,14.700371882825669,14.699744330557301,14.7
r_0962,-22.339794751891226,-22.338535788042957,-24.43659766
r_0961,0.9156996161109993,0.914722098507959,20.59641787
r_0718,0.0013148715450515824,0.0,0.319347589
r_2131,0.4011244628597297,0.39520754173287076,1.460589758
r_0713,1000.0,0.5392286443505581,0.341371561
r_0300,-0.541023196302405,-0.5405219383263957,-1.460589758
r_1022,-0.0005113388590723458,-0.0,-1.071165895
r_0454,-10.872682780262343,-0.0,0.680740943
r_0366,22.620305909266108,22.619046945374954,24.62280033
r_1054,-12.366774656033131,-12.36493383621469,-13.55575456
r_0486,24.84571538471202,24.843874564787228,24.62280033
r_0450,12.371652503988122,-0.0005113388797859386,13.55575456
r_0452,-0.19968930899183057,-0.19789761612116763,-0.209227731
r_0302,1000.0,-999.4593553403312,0.0
r_0892,-24.845715384737893,-24.843874564710617,1.460589758
r_0893,-22.62030590930832,-22.619046945377853,-24.62280033
r_0889,0.7252130874936284,0.7196906279416665,-24.62280033
r_1049,-0.23431364905514196,-0.23247282915225576,0.76683465
r_1048,0.23431364905514196,-12.139179674844922,-0.247269136
r_1050,0.09405807038362374,0.09221725048084917,0.247269136
r_0466,0.7252130873727699,0.7196906275970503,0.76683465
r_0467,12.475918377349183,12.470395917202211,13.16833288
r_0886,12.371652503860506,0.0,13.55575456
r_0959,19.456555953392808,19.454448617742514,20.59646492
r_2115,1000.0,0.0,19.35261561
r_2116,0.0008003565596286812,0.0,1.243849311
r_0112,0.12844184530435193,0.12705205238061634,0.543098568
r_2034,1.443764682603855,0.0,2.050018089
r_1239,0.0014160153762938776,0.0,1.566519199
r_4041,0.5306680994002004,0.5306680994002004,0.37
