,PGM1_real_flux,PGM1_sim_flux
r_0534,14.7,15.16764187859726
r_0962,-24.43659766,-23.47449059302477
r_0961,20.59641787,0.929574707592794
r_0718,0.319347589,0.0
r_2131,1.460589758,0.4034621035165954
r_0713,0.341371561,0.5479180718252383
r_0300,-1.460589758,-0.5479180718252383
r_1022,-1.071165895,-0.0
r_0454,0.680740943,-0.0
r_0366,24.62280033,23.686658920675352
r_1054,-13.55575456,-12.576569649495964
r_0486,24.62280033,25.369942166575672
r_0450,13.55575456,12.897748998574132
r_0452,-0.209227731,-0.25425176682049955
r_0302,0.0,0.4044312797888392
r_0892,1.460589758,-25.369942166575672
r_0893,-24.62280033,-23.686658920675352
r_0889,-24.62280033,1.0149706149627764
r_1049,0.76683465,-0.3358082697568827
r_1048,-0.247269136,0.6523259700846052
r_1050,0.247269136,0.19678647982898068
r_0466,0.76683465,1.0149706149627764
r_0467,13.16833288,12.411583977524145
r_0886,13.55575456,13.893046457966756
r_0959,20.59646492,20.611536661762976
r_2115,19.35261561,20.52984625191116
r_2116,1.243849311,0.0
r_0112,0.543098568,0.1301656000795307
r_2034,2.050018089,1.4612618918330464
r_1239,1.566519199,0.0
r_4041,0.37,0.4492029374979989
