,SOL4_real_flux,SOL4_sim_flux
r_0534,15.9,16.29417610888965
r_0962,-27.46907074,-25.9430993624301
r_0961,24.31577166,0.8533151131215553
r_0718,0.0,0.055574366740883285
r_2131,0.76715333,0.3793409056118417
r_0713,0.046826242,0.5228276976482408
r_0300,-0.76715333,-0.5228276976482408
r_1022,-0.385569271,-0.0
r_0454,0.046826242,-0.0
r_0366,27.57966038,26.188072984016816
r_1054,-14.67952879,-13.858786731730701
r_0486,27.57966038,27.812167920055508
r_0450,14.67952879,13.893046457966756
r_0452,-0.208227333,-0.2306436411623185
r_0302,0.0,0.3793409056118417
r_0892,0.76715333,-27.812167920055508
r_0893,-27.57966038,-26.188072984016816
r_0889,-27.57966038,0.6247837290498329
r_1049,1.087962905,-0.1994636736443187
r_1048,-0.354683877,0.22926746117518346
r_1050,0.354683877,0.07697686285096078
r_0466,1.087962905,0.6247837290498329
r_0467,14.08075067,13.961414303798861
r_0886,14.67952879,13.893046457966756
r_0959,24.31640739,23.229546428460587
r_2115,22.87498123,23.15665297392686
r_2116,1.441426158,0.0
r_0112,0.544726755,0.1301656000795307
r_2034,1.659460869,1.2802155354271931
r_1239,0.747591122,0.0
r_4041,0.3843,0.46343855767445297
