,RPE1_real_flux,RPE1_sim_flux
r_0534,4.6,4.6
r_0962,-7.703642894,-5.306820284784266
r_0961,4.526834274,0.4251608503818618
r_0718,0.330425859,0.0
r_2131,1.607285788,0.1857229829383592
r_0713,0.598306824,0.2511468696927347
r_0300,-1.607285788,-0.2511468696927347
r_1022,-1.413750641,-0.0
r_0454,0.941713699,-0.0
r_0366,7.625756798,5.4371257351925655
r_1054,-4.019394561,-3.591564048718165
r_0486,7.625756798,7.1598185327906965
r_0450,4.019394561,3.5612535858667127
r_0452,-0.246639302,-0.09258687877196725
r_0302,0.0,0.25114686969273464
r_0892,1.607285788,-7.1598185327906965
r_0893,-7.625756798,-5.4371257351925655
r_0889,-7.625756798,0.1080751334998319
r_1049,0.414212417,-0.03257636260207504
r_1048,-0.134530528,0.0
r_1050,0.134530528,-0.03257636260207504
r_0466,0.414212417,0.1080751334998319
r_0467,3.797537199,3.7930922494693498
r_0886,4.019394561,3.5612535858667127
r_0959,4.526713355,3.9674732723086006
r_2115,3.9261436,3.922250124316808
r_2116,0.600569756,0.0009225279153084603
r_0112,0.2465361,0.059348199653532344
r_2034,1.719458818,0.7095619865522349
r_1239,1.06240127,0.0
r_4041,0.1316,0.24651050020488116
