,galactose exp flux,Sim Flux
r_0458,4.5,4.5
r_0962,-7.335,-6.066596930144047
r_0961,0.36,0.34324755290025943
r_2131,0.54,0.14994149873136653
r_0713,0.315,3.649863144149689
r_0300,-0.54,-0.20275919409870546
r_1022,0.315,-0.0
r_1054,-3.87,-3.681645241983068
r_0486,7.425,7.3486763410965485
r_0450,7.425,3.652969819082551
r_0892,-7.425,-7.3486763410965485
r_0889,0.63,0.09986709103986204
r_1049,-0.225,-0.030504773254513173
r_1048,0.225,0.0
r_1050,-0.135,-0.022095594825863644
r_0466,0.63,0.09986709103986204
r_0467,3.51,3.8359377388085667
r_0886,3.87,3.652969819082551
r_2116,0.99,0.0
r_0112,0.495,0.04791414537000279
r_0091,0.63,0.09986709103986204
r_0958,0.495,0.4555713302035205
r_2034,0.36,0.5400776128111068
r_4041,0.2,0.1990176620521257
