,FUM1_real_flux,FUM1_sim_flux
r_0534,9.1,10.891034033798261
r_0962,-14.93827133,-15.07819694039607
r_0961,12.84216975,0.5851962489317215
r_0718,0.0,0.09274020443088604
r_2131,0.609166852,0.2593234714022736
r_0713,0.0,0.40281026343867266
r_0300,-0.609166852,-0.40281026343867266
r_1022,-0.39631321,-2.8069883965885196e-06
r_0454,0.101358877,-0.0
r_0366,15.06091557,15.035289215527188
r_1054,-8.323591,-8.177827150589515
r_0486,15.06091557,16.473787055222083
r_0450,8.323591,13.542986148926614
r_0452,-0.211840053,-0.0
r_0302,0.609166852,0.2593234714022736
r_0892,-15.06091557,-16.473787055222083
r_0893,-15.06091557,-15.035289215527188
r_0889,0.889930942,0.49709796137669904
r_1049,-0.291913566,-0.15978086371354472
r_1048,0.291913566,5.521817389561371
r_1050,0.23109824,0.10962035135735197
r_0466,0.889930942,0.49709796137669904
r_0467,7.800579194,8.064876928980578
r_0886,8.323591,13.893046457966756
r_0959,12.84134784,12.946477972352511
r_2115,11.72674227,12.914449377582043
r_2116,1.114605566,0.0
r_0112,0.303758115,0.1301656000795307
r_2034,1.106345819,0.7348959651282205
r_1239,0.751850311,0.0
r_4041,0.2097,0.18978627452210767
