,PGM2_real_flux,PGM2_sim_flux
r_0534,16.1,16.1
r_0962,-28.16198383,-25.049596466907378
r_0961,23.43611318,0.9547846642120147
r_0718,0.472587065,0.0
r_2131,1.646044776,0.4170804491045419
r_0713,0.44755597,29.675769188089937
r_0300,-1.646044776,-0.5639992693835296
r_1022,-1.210503731,-0.0
r_0454,0.920143035,-0.0
r_0366,27.77750622,25.34222506309518
r_1054,-14.76734453,-13.621804552820103
r_0486,27.77750622,27.404800613208305
r_0450,14.76734453,13.626893112516184
r_0452,-0.20925995,-0.20792352334891717
r_0302,0.0,0.5639992693835292
r_0892,1.646044776,-27.404800613208305
r_0893,-27.77750622,-25.34222506309518
r_0889,-27.77750622,0.8833199667793927
r_1049,1.00625,-0.2866952404196962
r_1048,-0.326405473,0.2866952404196962
r_1050,0.326405473,0.14038094232579426
r_0466,1.00625,0.8833199667793927
r_0467,14.23468284,13.647302796495666
r_0886,14.76734453,13.626893112516184
r_0959,23.43691632,22.04181238916671
r_2115,21.9307518,0.0
r_2116,1.506164522,0.0
r_0112,0.605022064,0.13327900173376342
r_2034,2.193518792,0.0
r_1239,3.215045295,0.0
r_4041,0.41,0.5535917445853269
