,MDH1_maximum,MDH1_minimum,MDH1_real_flux
r_0534,10.000247610661214,9.999829767672534,10.0
r_0962,-15.334700795394063,-15.333865109394926,-16.87885419
r_0961,0.6073603626644407,0.6067301551553299,14.44997016
r_0718,0.0942879016475478,0.0932347876563373,0.0
r_2131,0.0008754805305670743,0.0,0.615675353
r_0713,0.0,0.0,0.0
r_0300,-0.35875874134031216,-0.35849659774406706,-0.615675353
r_1022,-0.00034046467537627754,-0.0,-0.328227571
r_0454,-7.04229060251097,-0.0,0.0
r_0366,15.520756915948564,15.519921229967395,17.04495723
r_1054,-8.501485003071016,-8.500730742852376,-9.12174259
r_0486,17.028311260341944,17.02755700022688,17.04495723
r_0450,8.504851306946692,-0.000340464668682372,9.12174259
r_0452,-0.13240754866443327,-0.13155471667528218,-0.207877462
r_0302,1000.0,-999.6414037540625,0.615675353
r_0892,-17.0283112603423,-17.02755700019196,-17.04495723
r_0893,-15.520756915938236,-15.51992122990344,-17.04495723
r_0889,0.33244860220071537,0.33018582171788763,0.701213447
r_1049,-0.10589201381954691,-0.10513775380677082,-0.227770042
r_1048,0.10589201381954691,-8.39958260520218,0.227770042
r_1050,0.01286395355138157,0.012109693538494781,0.144221205
r_0466,0.3324486025612998,0.33018582172227084,0.701213447
r_0467,8.671988797921166,8.669726017477705,8.749751343
r_0886,8.504851306831924,0.0,9.12174259
r_0959,13.42232229169944,13.420919164329412,14.44923658
r_2115,1000.0,11.263923687107125,13.34298111
r_2116,0.0005329011525338564,0.0,1.106255472
r_0112,0.08519404419886528,0.08426867888111632,0.410049698
r_2034,0.599026604237154,0.0,1.286958042
r_1239,0.35905019877800814,0.358496597745785,0.751534857
r_4041,0.35197903998583824,0.35197903998583824,0.29
