,SOL4_real_flux,SOL4_sim_flux
r_0534,15.9,15.9
r_0962,-27.46907074,-25.718234819690984
r_0961,24.31577166,0.8628933250471325
r_0718,0.0,0.0
r_2131,0.76715333,0.37693937599740224
r_0713,0.046826242,0.5097182884521438
r_0300,-0.76715333,-0.5097182884521438
r_1022,-0.385569271,-0.0
r_0454,0.046826242,-0.0
r_0366,27.57966038,25.982699962286002
r_1054,-14.67952879,-13.583526890923949
r_0486,27.57966038,27.389518358383366
r_0450,14.67952879,13.252236258582437
r_0452,-0.208227333,-0.18791233996832551
r_0302,0.0,0.37693937599740224
r_0892,0.76715333,-27.389518358383366
r_0893,-27.57966038,-25.982699962286002
r_0889,-27.57966038,1.0286664734402482
r_1049,1.087962905,-0.33588945379354607
r_1048,-0.354683877,0.0
r_1050,0.354683877,0.20365688249603708
r_0466,1.087962905,1.0286664734402482
r_0467,14.08075067,13.452997861136723
r_0886,14.67952879,13.252236258582437
r_0959,24.31640739,22.99992890093451
r_2115,22.87498123,22.90814497136925
r_2116,1.441426158,0.0
r_0112,0.544726755,0.12045183094758083
r_2034,1.659460869,1.361177346026701
r_1239,0.747591122,0.0
r_4041,0.3843,0.5003124150492184
