,ALD6_real_flux,ALD6_sim_flux
r_0534,4.7,4.7
r_0962,-7.92152646,-7.545939022351056
r_0961,6.899873498,0.25971750942901434
r_0718,0.013873076,0.0
r_2131,0.267552182,0.11345290674768677
r_0713,0.03963736,0.15341730031343354
r_0300,-0.267552182,-0.15341730031343354
r_1022,-0.131794223,-0.0
r_0454,0.052519502,-0.0
r_0366,8.000801181,7.625538929050782
r_1054,-4.359118701,-4.001960949473242
r_0486,8.000801181,8.071696854238935
r_0450,4.359118701,3.901431039014826
r_0452,-0.207105208,-0.05655870025982951
r_0302,0.267552182,0.11345290674768677
r_0892,-8.000801181,-8.071696854238935
r_0893,-8.000801181,-7.625538929050782
r_0889,0.110984609,0.3120623592957743
r_1049,-0.03468269,-0.10191408439876448
r_1048,0.03468269,0.0
r_1050,-0.00495467,0.06211413104890151
r_0466,0.110984609,0.3120623592957743
r_0467,4.330381615,3.9610406004033294
r_0886,4.359118701,3.901431039014826
r_0959,6.899173337,6.727771095223993
r_2115,6.674968524,6.700145555773916
r_2116,0.224204813,0.027625539450077112
r_0112,0.194478046,0.03625413319562053
r_2034,0.57206456,0.40969454334063804
r_1239,0.365297488,0.0
r_4041,0.1387,0.15058627828173696
