,SFC1_maximum,SFC1_minimum,SFC1_real_flux
r_0534,12.900299490965606,12.899794099927561,12.9
r_0962,-20.399894920942522,-20.398881028870072,-22.16605619
r_0961,0.7379065409015517,0.7371193085041052,19.0396632
r_0718,0.0010589146713495395,0.0,0.108117337
r_2131,0.2773568598728204,0.2711798571144859,0.971053857
r_0713,999.9770033477697,0.43453236159620623,0.113122769
r_0300,-0.43596019195897995,-0.43557389907527977,-0.971053857
r_1022,-0.00041180019831787984,-0.0,-0.632686637
r_0454,-7.702976051334814,-0.0,0.222241192
r_0366,20.62594184463493,20.624927952370868,22.36226913
r_1054,-10.971396707673755,-10.96991422702798,-11.92293962
r_0486,22.081579789088302,22.080097308496,22.36226913
r_0450,10.975327469331793,-0.00041180015995934127,11.92293962
r_0452,-0.1135697965970095,-0.11217815900727146,-0.209227068
r_0302,1000.0,-999.5643272688786,0.0
r_0892,-22.08157978892461,-22.080097308499,0.971053857
r_0893,-20.62594184454426,-20.62492795238131,-22.36226913
r_0889,0.7295980789592644,0.7251506379261243,-22.36226913
r_1049,-0.23721677083446302,-0.2357342903827444,0.651707279
r_1048,0.23721677083446302,-10.739593178812253,-0.210228155
r_1050,0.12419330908008201,0.12271082862836291,0.210228155
r_0466,0.7295980791058517,0.7251506375394823,0.651707279
r_0467,10.962551928776865,10.958104487279737,11.60058979
r_0886,10.975327469359303,0.0,11.92293962
r_0959,18.076467695136667,18.07298611216254,19.03909393
r_2115,1000.0,0.0,17.95552145
r_2116,0.0006445567730219426,0.0,1.083572478
r_0112,0.10350314824377424,0.10238389661574264,0.482942946
r_2034,1.1161442821665772,0.0,1.653449722
r_1239,0.0011403696126457419,0.0,1.27052431
r_4041,0.4276332264637761,0.4276332264637761,0.339
