,FUM1_real_flux,FUM1_sim_flux
r_0534,9.1,9.1
r_0962,-14.93827133,-13.722801360528562
r_0961,12.84216975,0.5716929552386556
r_0718,0.0,0.0
r_2131,0.609166852,0.24973109810223443
r_0713,0.0,0.33770379976978565
r_0300,-0.609166852,-0.33770379976978565
r_1022,-0.39631321,-0.0
r_0454,0.101358877,-0.0
r_0366,15.06091557,13.898017525191213
r_1054,-8.323591,-7.654835021095516
r_0486,15.06091557,15.367490964171987
r_0450,8.323591,7.524913542018091
r_0452,-0.211840053,-0.0
r_0302,0.609166852,0.24973109810223443
r_0892,-15.06091557,-15.367490964171987
r_0893,-15.06091557,-13.898017525191213
r_0889,0.889930942,0.41281689764654883
r_1049,-0.291913566,-0.13296833753630233
r_1048,0.291913566,0.0
r_1050,0.23109824,0.04536025520497711
r_0466,0.889930942,0.41281689764654883
r_0467,7.800579194,7.747492778475001
r_0886,8.323591,7.524913542018091
r_0959,12.84134784,11.797346419029788
r_2115,11.72674227,11.736536786583372
r_2116,1.114605566,0.0
r_0112,0.303758115,0.07980298514253727
r_2034,1.106345819,0.9018232857145849
r_1239,0.751850311,0.0
r_4041,0.2097,0.3314721238415645
