,ICL1_maximum,ICL1_minimum,ICL1_real_flux
r_0534,15.700338521222603,15.69976726668301,15.7
r_0962,-25.62633134679902,-25.62518532464006,-27.14446029
r_0961,0.8335521847796765,0.8326623602248968,24.46044733
r_0718,0.0011969144509089702,0.0,0.06208752
r_2131,0.3651395789080368,0.35975346470508995,0.517056726
r_0713,1000.0,0.49085443181320443,0.063105348
r_0300,-0.49246833769335463,-0.492031704145434,-0.517056726
r_1022,-0.0004654665974905026,-0.0,-0.125192869
r_0454,-7.5458986110185,-0.0,0.125192869
r_0366,25.881677842577766,25.880531820279387,27.12512156
r_1054,-13.4454552622901,-13.443779582135582,-14.40735818
r_0486,27.12364726360377,27.121971583661683,27.12512156
r_0450,13.449895518167107,-0.00046546666710356455,14.40735818
r_0452,-0.18171721504266403,-0.1801442168742824,-0.212726094
r_0302,1000.0,-999.507856583852,0.517056726
r_0892,-27.123647263474364,-27.121971583592483,-27.12512156
r_0893,-25.881677842673692,-25.880531820260558,-27.12512156
r_0889,1.0520534690403345,1.0470264289017757,1.22750081
r_1049,-0.34392645432064756,-0.3422507742802985,-0.401024311
r_1048,0.34392645432064756,-13.107644743990653,0.401024311
r_1050,0.21625320649197463,0.21457752645163986,0.287027553
r_0466,1.0520534686887597,1.0470264291288232,1.22750081
r_0467,13.283541523130287,13.278514483460912,13.71930632
r_0886,13.449895518274232,0.0,14.40735818
r_0959,23.001747960135276,22.99982967337621,24.46022683
r_2115,1000.0,0.0,22.88249949
r_2116,0.0007285564312189524,0.0,1.577727334
r_0112,0.11691932462368204,0.11565421011259631,0.559917918
r_2034,1.3142445236949734,0.0,1.3733957
r_1239,0.0012889847916737196,0.0,0.669508992
r_4041,0.4830618533058154,0.4830618533058154,0.386
