,glucose exp flux,Sim Flux
r_0534,16.3,16.3
r_0723,0.0,-0.38068681442066815
r_0962,-28.199,-27.25060719340273
r_0961,0.163,0.8122589090837135
r_2131,0.326,0.3548206452073608
r_0713,0.0,0.4798081163688989
r_0300,-0.326,-0.4798081163688989
r_1054,-15.159,-14.044357981510037
r_0486,28.199,28.3732254708251
r_0450,28.199,13.65740831012619
r_0892,-28.199,-28.3732254708251
r_0889,1.141,1.1936018514503135
r_1049,-0.326,-0.391278634868987
r_1048,0.326,0.0
r_1050,-0.326,0.2668054456696349
r_0466,1.141,1.1936018514503135
r_0467,14.507,13.7712901498314
r_0886,15.159,13.65740831012619
r_2116,1.467,0.0
r_0112,0.652,0.11338374044934807
r_0091,1.141,1.1936018514503135
r_0958,0.978,1.0747938484750335
r_2034,0.978,1.2813037185727736
r_4041,0.33,0.4709541778257743
