,galactose exp flux,Sim Flux
r_0458,4.5,4.5
r_0962,-7.335,-6.066765344174889
r_0961,0.36,0.3432441204247342
r_2131,0.54,0.14993999931638083
r_0713,0.315,0.20275716650676479
r_0300,-0.54,-0.20275716650676479
r_1022,0.315,-0.0
r_1054,-3.87,-3.6813494655304138
r_0486,7.425,7.348388894332913
r_0450,7.425,3.6523703693838807
r_0892,-7.425,-7.348388894332913
r_0889,0.63,0.1007779723696754
r_1049,-0.225,-0.030808428207025635
r_1048,0.225,0.0
r_1050,-0.135,-0.021791413869670578
r_0466,0.63,0.1007779723696754
r_0467,3.51,3.8350324994304548
r_0886,3.87,3.6523703693838807
r_2116,0.99,0.0
r_0112,0.495,0.047913666228549076
r_0091,0.63,0.1007779723696754
r_0958,0.495,0.4541860544891121
r_2034,0.36,0.5414529320360908
r_4041,0.2,0.1990156718755052
