,IDP2_real_flux,IDP2_sim_flux
r_0534,13.4,14.413002266522621
r_0962,-22.66328224,-22.007605443555978
r_0961,19.89211215,0.6191145687683558
r_0718,0.0,0.2078161541710702
r_2131,0.615147664,0.34851602979815277
r_0713,0.033061682,0.4132170642070696
r_0300,-0.615147664,-0.4132170642070696
r_1022,-0.233435514,-1.587622319949253e-06
r_0454,0.033061682,-0.0
r_0366,22.80454579,22.178429528649808
r_1054,-12.22781308,-11.7882628158575
r_0486,22.80454579,23.740597448688025
r_0450,12.22781308,12.006769708079176
r_0452,-0.209390654,-0.2732738252991455
r_0302,0.615147664,0.4073374367522725
r_0892,-22.80454579,-23.740597448688025
r_0893,-22.80454579,-22.178429528649808
r_0889,0.842571963,0.7531641694809008
r_1049,-0.27351028,-0.2410876289343699
r_1048,0.27351028,0.4558836937727273
r_1050,0.168314019,0.15064230982120708
r_0466,0.842571963,0.7531641694809008
r_0467,11.78699065,11.676713109543295
r_0886,12.22781308,13.893046457966756
r_0959,19.89192132,19.795632429156765
r_2115,18.7582347,19.734430501002702
r_2116,1.133686622,0.0
r_0112,0.53258435,0.1301656000795307
r_2034,1.504686999,0.8321234520164291
r_1239,0.612452272,0.0
r_4041,0.356,0.34220703410201603
