,MDH3_maximum,MDH3_minimum,MDH3_real_flux
r_0534,14.400353749510778,14.399756797244116,14.4
r_0962,-22.201460761203805,-22.20026318539381,-24.35051771
r_0961,0.87104929863699,0.8701194455249764,20.60043597
r_0718,0.0012507570853586003,0.0,0.150081744
r_2131,0.381565281640624,0.3759368749343821,1.228119891
r_0713,1000.0,0.5129353819469507,0.19226158
r_0300,-0.514642430141862,-0.5142823512127279,-1.228119891
r_1022,-0.00048640557307511045,-0.0,-0.833787466
r_0454,-9.919866097362274,-0.0,0.343324251
r_0366,22.468293948127407,22.467096372360636,24.5800545
r_1054,-12.15706393313447,-12.15531287313099,-13.00021798
r_0486,24.444305462574604,24.442554402471465,24.5800545
r_0450,12.161703932885827,-0.0004864055823624591,13.00021798
r_0452,-0.18995228290924304,-0.18824795439843456,-0.205013624
r_0302,1000.0,-999.4857176487873,1.228119891
r_0892,-24.444305462413336,-24.442554402521747,-24.5800545
r_0893,-22.468293948239744,-22.467096372355762,-24.5800545
r_0889,0.7602935806697111,0.755040400701211,1.540054496
r_1049,-0.24636914982021035,-0.2446180899332635,-0.505177112
r_1048,0.24636914982021035,-11.91708584285394,0.505177112
r_1050,0.11295255635181684,0.11120149646498323,0.390408719
r_0466,0.7602935808934266,0.7550404011312697,1.540054496
r_0467,12.213924030820372,12.208670850796413,12.10463215
r_0886,12.161703932822856,0.0,13.00021798
r_0959,19.458811218934386,19.456806638421654,20.60010632
r_2115,1000.0,0.0,19.3487862
r_2116,0.0007613303832050112,0.0,1.251320122
r_0112,0.12217890806874182,0.12085688265670497,0.564675372
r_2034,1.373365448863698,0.0,2.001353149
r_1239,0.0013469692482004358,0.0,1.14458781
r_4041,0.5047922567853059,0.5047922567853059,0.405
