,ALD5_maximum,ALD5_minimum,ALD5_real_flux
r_0534,16.200385381783587,16.199735050004485,16.2
r_0962,-25.35574258242896,-25.354437919335652,-27.82518835
r_0961,0.9489386337452856,0.9479256334404538,23.65924159
r_0718,0.0013625999937261213,0.0,0.830951783
r_2131,0.4156848957526963,0.40955319623412834,1.759542943
r_0713,1000.0,0.5588021269562619,0.224773983
r_0300,-0.5606618193002184,-0.5601423661499496,-1.759542943
r_1022,-0.0005298999868781351,-0.0,-1.340507283
r_0454,-10.287335306502069,-0.0,1.055725766
r_0366,25.646436025734854,25.645131362546998,28.06725264
r_1054,-13.727635512923763,-13.725727873027889,-14.83609995
r_0486,27.6259539207943,27.62404628077543,28.06725264
r_0450,13.732690422041482,-0.000529900007942341,14.83609995
r_0452,-0.20693783932543575,-0.2050811096197549,-0.212569061
r_0302,1000.0,-999.4397304578551,1.759542943
r_0892,-27.62595392065225,-27.624046280665752,-28.06725264
r_0893,-25.64643602569904,-25.64513136254542,-28.06725264
r_0889,0.9148735315951264,0.9091506115167552,1.262192366
r_1049,-0.29726431135016107,-0.29535667133827026,-0.411916123
r_1048,0.29726431135016107,-13.437333750753904,0.411916123
r_1050,0.15191758972778208,0.15000994971589066,0.290883978
r_0466,0.914873531553352,0.9091506114600634,1.262192366
r_0467,13.731850443672617,13.726127524060797,14.13329985
r_0886,13.732690422069224,0.0,14.83609995
r_0959,22.367844981606336,22.365661152260977,23.65971029
r_2115,1000.0,0.0,22.24897024
r_2116,0.0008294085899899294,0.0,1.410740047
r_0112,0.1331041609763227,0.13166391999483465,0.597067646
r_2034,1.4961719556383866,0.0,1.908203282
r_1239,0.0014674154046872001,0.0,1.645496626
r_4041,0.5499308423092057,0.5499308423092057,0.4126
