,glucose exp flux,maximum,minimum
r_0534,1.5,1.5000333068594562,1.4999770772044445
r_0962,-2.565,-2.393834495366752,-2.3937216817193123
r_0961,0.09,0.0840963991967385,0.08400879416506636
r_2131,0.09,0.036836088013244936,0.03630571427780336
r_0300,-0.09,-0.04968646021058193,-0.049640925474460765
r_1022,-0.045,-4.579685206534956e-05,-0.0
r_1054,-1.365,-1.277266931841491,-1.2771019852005911
r_0486,2.58,2.5732858941485417,2.573120947658168
r_0450,1.365,1.2777149108777481,-4.843944564214553e-05
r_0302,0.09,1000.0,-999.9503474490587
r_0892,-2.58,-2.57328589420416,-2.5731209476570074
r_0893,-2.58,-2.419596507957831,-2.4194836943110416
r_0889,0.165,0.09194290857254828,0.09144800990893197
r_1049,-0.045,-0.02996581509921983,-0.029800849109731242
r_1048,0.045,0.02996581509921983,-1.247914159372014
r_1050,-0.045,0.0170848088038274,0.016919842814339003
r_0466,0.165,0.0919429082970753,0.0914480099049623
r_0467,1.275,1.270389136943794,1.2698942971854719
r_0886,1.365,1.2777149110838368,0.0
r_0959,2.235,2.129039201874604,2.128850333387421
r_2115,2.115,1000.0,0.0
r_2116,0.12,7.168208003442384e-05,0.0
r_0112,0.045,0.011794486236115082,0.011666353749361877
r_0958,0.135,0.11197445475518761,0.11123219516317569
r_0366,2.58,2.4195965079144846,2.419481062551462
r_0832,0.045,3.197543918935508e-05,0.0
r_0091,0.165,0.09194290842744945,0.09143178071196606
r_2034,0.18,0.13258628585818788,0.0
r_1239,0.075,0.00012682192417191873,0.0
