,ALD5_real_flux,ALD5_sim_flux
r_0534,16.2,16.2
r_0962,-27.82518835,-25.35492632556822
r_0961,23.65924159,0.9484801677498294
r_0718,0.830951783,0.0
r_2131,1.759542943,0.4143264436052938
r_0713,0.224773983,19.519690635587
r_0300,-1.759542943,-0.5602751507086374
r_1022,-1.340507283,-0.0
r_0454,1.055725766,-0.0
r_0366,28.06725264,25.64562267879218
r_1054,-14.83609995,-13.726545146791267
r_0486,28.06725264,27.624840513586605
r_0450,14.83609995,13.435174861745402
r_0452,-0.212569061,-0.2065505927320146
r_0302,1.759542943,0.4143264436052938
r_0892,-28.06725264,-27.62484051358655
r_0893,-28.06725264,-25.64562267879218
r_0889,1.262192366,0.9123565626040167
r_1049,-0.411916123,-0.29642524469807796
r_1048,0.411916123,0.0
r_1050,0.290883978,0.15107706808609678
r_0466,1.262192366,0.9123565626040167
r_0467,14.13329985,13.72862888621435
r_0886,14.83609995,13.435174861745402
r_0959,23.65971029,22.367002814076397
r_2115,22.24897024,0.0
r_2116,1.410740047,0.0
r_0112,0.597067646,0.13239895304172594
r_2034,1.908203282,0.0
r_1239,1.645496626,0.0
r_4041,0.4126,0.5499363473779084
