,ADH3_maximum,ADH3_minimum,ADH3_real_flux,ALD5_maximum,ALD5_minimum,ALD5_real_flux,ALD6_maximum,ALD6_minimum,ALD6_real_flux,COX5A_maximum,COX5A_minimum,COX5A_real_flux,CTP1_maximum,CTP1_minimum,CTP1_real_flux,DAL7_maximum,DAL7_minimum,DAL7_real_flux,FUM1_maximum,FUM1_minimum,FUM1_real_flux,GCV2_maximum,GCV2_minimum,GCV2_real_flux,GLY1_maximum,GLY1_minimum,GLY1_real_flux,GND2_maximum,GND2_minimum,GND2_real_flux,GPD1_maximum,GPD1_minimum,GPD1_real_flux,ICL1_maximum,ICL1_minimum,ICL1_real_flux,IDP1_maximum,IDP1_minimum,IDP1_real_flux,IDP2_maximum,IDP2_minimum,IDP2_real_flux,LSC1_maximum,LSC1_minimum,LSC1_real_flux,MAE1_maximum,MAE1_minimum,MAE1_real_flux,MDH1_maximum,MDH1_minimum,MDH1_real_flux,MDH3_maximum,MDH3_minimum,MDH3_real_flux,OAC1_maximum,OAC1_minimum,OAC1_real_flux,PCK1_maximum,PCK1_minimum,PCK1_real_flux,PDA1_maximum,PDA1_minimum,PDA1_real_flux,PGM1_maximum,PGM1_minimum,PGM1_real_flux,PGM2_maximum,PGM2_minimum,PGM2_real_flux,RPE1_maximum,RPE1_minimum,RPE1_real_flux,SDH1_maximum,SDH1_minimum,SDH1_real_flux,SER33_maximum,SER33_minimum,SER33_real_flux,SFC1_maximum,SFC1_minimum,SFC1_real_flux,SOL3_maximum,SOL3_minimum,SOL3_real_flux,SOL4_maximum,SOL4_minimum,SOL4_real_flux,TAL1_maximum,TAL1_minimum,TAL1_real_flux,ZWF1_maximum,ZWF1_minimum,ZWF1_real_flux
r_0534,14.40033481618215,14.399769813850497,14.4,16.200385381783587,16.199735050004485,16.2,4.700105547044587,4.699927436395651,4.7,13.300308488835341,13.299787913913722,13.3,13.90034246073217,13.899764558246034,13.9,14.300320120094135,14.299779917504647,14.3,9.100232767694077,9.099839972231418,9.1,16.00033727758299,15.999768121660658,16.0,13.100290662643147,13.099800169433067,13.1,15.50033039209065,15.499772855408978,15.5,16.400351858550845,16.399758097233104,16.4,15.700338521222603,15.69976726668301,15.7,15.00035293062981,14.999757108334743,15.0,13.400309048981622,13.399787528800115,13.4,17.800400779565713,17.799724464127344,17.8,12.50033098991706,12.499772444450368,12.5,10.000247610661214,9.999829767672534,10.0,14.400353749510778,14.399756797244116,14.4,11.700274317058659,11.699811407047722,11.7,13.40029300061392,13.399798562056795,13.4,8.000263909079763,7.999818562512278,8.0,14.700371882825669,14.699744330557301,14.7,16.100387943438665,16.099733288878305,16.1,4.600168090887162,4.599884437511884,4.6,13.40029330504062,13.399798352778738,13.4,14.50031991918265,14.499780055567847,14.5,12.900299490965606,12.899794099927561,12.9,12.200311135345345,12.199786094427461,12.2,15.90035024624682,15.899759205711602,15.9,12.200302242458365,12.199792208308624,12.2,6.500235293587506,6.499838235696016,6.5
r_0962,-22.771729683212293,-22.770596203297185,-24.5210728,-25.35574258242896,-25.354437919335652,-27.82518835,-7.545980376697839,-7.545529812832728,-7.92152646,-21.05484370115124,-21.053799349814092,-21.35787365,-21.389943188348294,-21.388783832834555,-23.33285509,-22.976190359383054,-22.97510662864226,-24.67282388,-13.723012203526967,-13.722225286784228,-14.93827133,-26.981357309555545,-26.976298146010283,-27.51864533,-21.135429804794907,-21.134445801912108,-22.86753505,-25.404501389909516,-25.403382884163314,-27.55341866,-26.82179491715422,-26.820603742849663,-28.26898784,-25.62633134679902,-25.62518532464006,-27.14446029,-23.545235995091026,-23.544040687119484,-26.09305813,-21.273044835784816,-21.27200019168919,-22.66328224,-28.530126562221714,-28.528769767730754,-31.06065037,-18.359907147359888,-18.358786654194205,-20.82975148,-15.334700795394063,-15.333865109394926,-16.87885419,-22.201460761203805,-22.20026318539381,-24.35051771,-18.424805849985308,-18.423877180177076,-20.06035069,-21.740346817029483,-21.739354895864636,-23.16295957,-10.145046987179626,-10.144321237226649,-13.40648379,-22.339794751891226,-22.338535788042957,-24.43659766,-25.050418106153472,-25.049104770937493,-28.16198383,-5.307149759061651,-5.30658620165932,-7.703642894,-21.74034745872575,-21.739354510044773,-23.16295957,-23.448593001532547,-23.447509954181854,-24.28635968,-20.399894920942522,-20.398881028870072,-22.16605619,-18.46527346157866,-18.46422015069982,-21.93422092,-25.718553240656455,-25.71736752086109,-27.46907074,-18.73312704572112,-18.732103840883973,-21.80317018,-7.52624211109797,-7.525453231895682,-11.19372211
r_0961,0.8244291141895368,0.8235490285195515,21.21583653,0.9489386337452856,0.9479256334404538,23.65924159,0.2598456754799372,0.2596274331486633,6.899873498,0.7596025835041189,0.7587917009383232,19.13027735,0.8424182776625067,0.8415181001776144,20.04127464,0.7890606551393375,0.7882191969612407,21.66345522,0.5719752025759578,0.5713637493529973,12.84216975,1.5522032743448748,1.5460198520382376,24.2146548,0.7157083765719747,0.7149443513381665,19.91448931,0.8143803968654026,0.8135119378905743,24.21818063,0.8663932493924449,0.8654683667345782,24.88500397,0.8335521847796765,0.8326623602248968,24.46044733,0.8691798476076206,0.8681871557625049,22.13040994,0.7609551788529814,0.7601676547545457,19.89211215,0.987877834382811,0.9868243570530006,27.13509385,0.8072517866231625,0.8064070840187335,16.87636761,0.6073603626644407,0.6067301551553299,14.44997016,0.87104929863699,0.8701194455249764,20.60043597,0.6761614681591936,0.6754404063269036,17.54642764,0.7222145467924737,0.7214443738066871,20.49176794,0.0,0.0,11.08181926,0.9156996161109993,0.914722098507959,20.59641787,0.9552461875105906,0.9542264535040204,23.43611318,0.4254683597069896,0.42499573119445977,4.526834274,0.7222149066512884,0.7214439358044097,20.49176794,0.7877478037611922,0.7869068758175704,21.69322669,0.7379065409015517,0.7371193085041052,19.0396632,0.766119062586319,0.7653012235544064,17.1263185,0.8633186328493326,0.8623979857652662,24.31577166,0.7442217032187477,0.7434272397747509,17.58916565,0.5978370617753468,0.59717546978531,6.330973996
r_0718,0.001183814295628527,0.0,0.114431673,0.0013625999937261213,0.0,0.830951783,0.0003731843454947842,0.0,0.013873076,0.001090728443455924,0.0,0.229522342,0.0012108434610059726,0.0,0.003148833,0.0011318529151023715,0.0,0.045990352,0.0008229998900071145,0.0,0.0,0.004637566983774377,0.0,0.802838822,0.0010276997791933973,0.0,0.084315378,0.0011681720939448748,0.0,0.039476262,0.0012440712502055362,0.0,0.0,0.0011969144509089702,0.0,0.06208752,0.0009705592508737482,0.0,0.0,0.11788536294602636,0.0,0.0,0.0014170418144904828,0.0,0.0,0.0,0.0,0.0,0.0942879016475478,0.0932347876563373,0.0,0.0012507570853586003,0.0,0.150081744,0.0009699065734594114,0.0,0.0,0.0010359666117250865,0.0,0.0,0.062255126227096724,0.0,0.021850137,0.0013148715450515824,0.0,0.319347589,0.001371657159079831,0.0,0.472587065,0.04061071846493314,0.0,0.330425859,0.001037042810761335,0.0,0.0,0.0011311426218720833,0.0,0.0,0.0010589146713495395,0.0,0.108117337,0.0011000856922325775,0.0,0.599415908,0.0012383708293555173,0.0,0.0,0.0010686427694010143,0.0,0.126441387,0.023350099565028648,0.0,1.060163102
r_2131,0.36114319556574515,0.35581603162274866,0.900127714,0.4156848957526963,0.40955319623412834,1.759542943,0.11382609232793464,0.11214676267706442,0.267552182,0.33274577474164435,0.3278374970023724,0.716232666,0.23999322811776347,0.23454443338903275,0.901615948,0.345648955658778,0.34055561701554465,0.726847515,0.25055409541698004,0.24685059575460155,0.609166852,0.378589331432845,0.3727923736044154,1.484156135,0.31351780998767004,0.30889315943034035,0.797984829,0.35674029835078447,0.35148352384985493,0.711584928,0.37952568769521966,0.37392736670343296,0.809431311,0.3651395789080368,0.35975346470508995,0.517056726,0.0,0.0,0.854877875,0.4495153215451637,0.33139624751860064,0.615147664,0.43274105630674087,0.4263643682303916,0.780838062,0.4279701661419296,0.42686254634628895,1.239645202,0.0008754805305670743,0.0,0.615675353,0.381565281640624,0.3759368749343821,1.228119891,0.29619333265903613,0.2918287526462605,0.650170113,0.31636693835979135,0.31170508920064544,0.709791332,0.3468030452712039,0.2830964189472537,2.122313264,0.4011244628597297,0.39520754173287076,1.460589758,0.4184479353851537,0.41227547826259814,1.646044776,0.2263337015351598,0.1852607329736884,1.607285788,0.3163680115625106,0.3117013186336668,0.709791332,0.3450748575904883,0.339984715053386,0.57937889,0.2773568598728204,0.2711798571144859,0.971053857,0.3356003344188674,0.33064994836723605,1.687167153,0.3781777506903014,0.3726050828406705,0.76715333,0.32600814226445274,0.3211992496338216,0.933966208,0.2843151868578484,0.2603180300062604,3.730573934
r_0713,1000.0,0.48548212290058756,0.099106003,1000.0,0.5588021269562619,0.224773983,1000.0,0.15301541112296388,0.03963736,1000.0,0.44730768060083415,0.038936826,999.7153525313302,0.4960738817407264,0.073472778,1000.0,0.4646561772644101,0.055988254,999.8943439300899,0.3368174885404166,0.0,1000.0,1.195644070733052,0.30978024,1000.0,0.42145966943864427,0.054202743,1000.0,0.47956627906206195,0.066805982,1000.0,0.510193571276945,0.009015943,1000.0,0.49085443181320443,0.063105348,999.6491257281323,0.5112355046491345,0.047136123,1000.0,0.44871502058758106,0.033061682,1000.0,0.5817341615294875,0.002913575,1000.0,0.47650373981946936,0.469873398,0.0,0.0,0.0,1000.0,0.5129353819469507,0.19226158,1000.0,0.3991269331483199,0.058178487,1000.0,0.42529233771537467,0.0,1000.0,0.38429761299221554,0.462652892,1000.0,0.5392286443505581,0.341371561,1000.0,0.5625164601456158,0.44755597,1000.0,0.25083673095323245,0.598306824,1000.0,0.4252911743189456,0.0,1000.0,0.4638815751807803,0.0,999.9770033477697,0.43453236159620623,0.113122769,1000.0,0.45114504399026867,0.512437725,1000.0,0.5083846638199705,0.046826242,1000.0,0.4382503310170458,0.103065668,1000.0,0.35246006417479236,2.351361748
r_0300,-0.48709780649107637,-0.4866465103931561,-0.900127714,-0.5606618193002184,-0.5601423661499496,-1.759542943,-0.15352473727174987,-0.15338710202418712,-0.267552182,-0.4487963196856174,-0.4483805099394965,-0.716232666,-0.49772645235907476,-0.49726485479949883,-0.901615948,-0.46620094608849527,-0.46576945618900534,-0.726847515,-0.3378750312867702,-0.33762698294105675,-0.609166852,-1.2018274928402342,-1.195644071350745,-1.484156135,-0.42286228661310976,-0.42247050467963393,-0.797984829,-0.481160616766937,-0.48071528113368833,-0.711584928,-0.5118914945443085,-0.5114172271292948,-0.809431311,-0.49246833769335463,-0.492031704145434,-0.517056726,-0.5135378837966552,-0.5130620499730906,-0.854877875,-0.44959518099916074,-0.44917962426443536,-0.615147664,-0.5836681602532134,-0.5831279494676931,-0.780838062,-0.4769498543506688,-0.47650373982297545,-1.239645202,-0.35875874134031216,-0.35849659774406706,-0.615675353,-0.514642430141862,-0.5142823512127279,-1.228119891,-0.39949668514809694,-0.3991269331522521,-0.701203873,-0.42670623953718056,-0.4263113038944263,-0.709791332,-0.3849433954217509,-0.38462865675442615,-2.122313264,-0.541023196302405,-0.5405219383263957,-1.460589758,-0.5643885140342639,-0.5638656080560229,-1.646044776,-0.25141044903163956,-0.25108525241807733,-1.607285788,-0.4267065425760922,-0.4263111990263626,-0.709791332,-0.46542537224896385,-0.46499415561477075,-0.57937889,-0.43596019195897995,-0.43557389907527977,-0.971053857,-0.4526464538542869,-0.45222707688548347,-1.687167153,-0.5100748094956877,-0.5096027124867821,-0.76715333,-0.4397088276088923,-0.4393014373724007,-0.933966208,-0.35326316199440444,-0.35280794443647967,-3.800584705
r_1022,-0.000460372228981641,-0.0,-0.520051086,-0.0005298999868781351,-0.0,-1.340507283,-0.00014512721818515928,-0.0,-0.131794223,-0.00042417212023693196,-0.0,-0.452896764,-0.0004708835369182651,-0.0,-0.516408669,-0.00044016512114930517,-0.0,-0.381919877,-0.00032005561374689437,-0.0,-0.39631321,-0.6961452463138736,-0.689961823783255,-1.112619062,-0.00039966112748146543,-0.0,-0.479794652,-0.0004542890771753766,-0.0,-0.370469536,-0.00048380547996984546,-0.0,-0.439777656,-0.0004654665974905026,-0.0,-0.125192869,-0.00048527964717516033,-0.0,-0.454220826,-0.0004249423914770567,-0.0,-0.233435514,-0.0,-0.0,-0.37196639,-0.0004551111204274239,-0.0,-0.841083151,-0.00034046467537627754,-0.0,-0.328227571,-0.00048640557307511045,-0.0,-0.833787466,-0.00037718593493685226,-0.0,-0.3541743,-0.0004028758848235725,-0.0,-0.409691967,-0.0003628749805635323,-0.0,-1.963662273,-0.0005113388590723458,-0.0,-1.071165895,-0.0005334221998143374,-0.0,-1.210503731,-0.00023112490794474638,-0.0,-1.413750641,-0.00040329441468744953,-0.0,-0.409691967,-0.0004398888981604898,-0.0,-0.262030654,-0.00041180019831787984,-0.0,-0.632686637,-0.00042781110147804835,-0.0,-1.310960316,-0.0004815885907110129,-0.0,-0.385569271,-0.00041558333794888824,-0.0,-0.548266852,-0.00032352861550677403,-0.0,-3.571549469
r_0454,-8.607366325343854,-0.0,0.213537676,-10.287335306502069,-0.0,1.055725766,-2.5581962322884464,-0.0,0.052519502,-7.897795579622471,-0.0,0.268459168,-9.64447318821072,-0.0,0.076621611,-7.713055451705855,-0.0,0.101978606,-6.944187553252282,-0.0,0.101358877,-7.711338586580218,-0.0,1.112619062,-6.864857254231821,-0.0,0.138518121,-7.208981996228639,-0.0,0.107294456,-7.760615159685289,-0.0,0.009015943,-7.5458986110185,-0.0,0.125192869,-9.280166686414683,-0.0,0.047136123,-7.857577810180906,-0.0,0.033061682,-9.761069624886325,-0.0,0.002913575,-10.270138625894916,-0.0,0.469873398,-7.04229060251097,-0.0,0.0,-9.919866097362274,-0.0,0.343324251,-7.1712187398312075,-0.0,0.058178487,-6.743809693118946,-0.0,0.0,-10.71504412907206,-0.0,0.769504809,-10.872682780262343,-0.0,0.680740943,-10.566320550906045,-0.0,0.920143035,-7.35148668093429,-0.0,0.941713699,-6.743810487351682,-0.0,0.0,-7.473267593114217,-0.0,0.0,-7.702976051334814,-0.0,0.222241192,-9.196747212367095,-0.0,1.111853633,-8.181108783602248,-0.0,0.046826242,-8.580270046690524,-0.0,0.229507055,-10.243727852230698,-0.0,3.521541776
r_0366,23.024281459341328,23.0231479799554,24.60076628,25.646436025734854,25.645131362546998,28.06725264,7.6255802842481835,7.625129720360787,8.000801181,21.287536820274507,21.286492468906594,21.50952234,21.64800555625322,21.646846200728667,23.55852148,23.217907650064582,23.21682391926119,24.62683353,13.898228366391692,13.897441449617302,15.06091557,27.24372630868002,27.238667145472263,27.73379817,21.354676576815148,21.353692573947146,22.84545246,25.653975016272774,25.652856510504467,27.11310651,27.087201791733246,27.086010617448732,28.18684259,25.881677842577766,25.880531820279387,27.12512156,23.811496525081594,23.81030121718752,25.6656192,21.506152667755913,21.5051080237624,22.80454579,28.83274861285665,28.831391818433485,30.42160629,18.75782564310135,18.756705149880872,20.73011097,15.520756915948564,15.519921229967395,17.04495723,22.468293948127407,22.467096372360636,24.5800545,18.63193811166163,18.631009441866226,19.9695106,21.961586771490882,21.960594850373177,23.33605442,10.34468918630268,10.34396343635219,13.49958437,22.620305909266108,22.619046945374954,24.62280033,25.343043775994747,25.341730440884138,27.77750622,5.437455209438646,5.436891652123724,7.625756798,21.961587410750962,21.96059446231199,23.33605442,23.689907996378402,23.688824949067218,24.32420855,20.62594184463493,20.624927952370868,22.36226913,18.699962808434776,18.69890949764925,21.10426044,25.983018385991183,25.981832666203402,27.57966038,18.961108457515,18.960085252750705,21.05727225,7.709338315409562,7.708549436140631,11.26373288
