,IDP1_maximum,IDP1_minimum,IDP1_real_flux
r_0534,15.00035293062981,14.999757108334743,15.0
r_0962,-23.545235995091026,-23.544040687119484,-26.09305813
r_0961,0.8691798476076206,0.8681871557625049,22.13040994
r_0718,0.0009705592508737482,0.0,0.0
r_2131,0.0,0.0,0.854877875
r_0713,999.6491257281323,0.5112355046491345,0.047136123
r_0300,-0.5135378837966552,-0.5130620499730906,-0.854877875
r_1022,-0.00048527964717516033,-0.0,-0.454220826
r_0454,-9.280166686414683,-0.0,0.047136123
r_0366,23.811496525081594,23.81030121718752,25.6656192
r_1054,-12.811182309789514,-12.810106422851167,-13.55913441
r_0486,25.702958078895804,25.70188219198201,25.6656192
r_0450,12.815998997483916,-0.00048578333086091163,13.55913441
r_0452,-0.1895445615954734,-0.18724489635481234,-0.223896586
r_0302,1000.0,-999.4868213620274,0.854877875
r_0892,-25.70295807895121,-25.70188219194047,-25.6656192
r_0893,-23.81149652509426,-23.81030121718735,-25.6656192
r_0889,0.6087309545671271,0.6055047818960375,1.605842023
r_1049,-0.19586343061486827,-0.1947880396413897,-0.527067562
r_1048,0.19586343061486827,-12.621024621824361,0.527067562
r_1050,0.06273316558128546,0.06165777460780575,0.411369804
r_0466,0.6087309547780998,0.6055047818963253,1.605842023
r_0467,12.966529897911455,12.963302237100018,12.62069704
r_0886,12.815998997469164,0.0,13.55913441
r_0959,20.808472516433312,20.80647123286144,22.13089261
r_2115,1000.0,0.0,20.70360192
r_2116,0.000759568093403943,0.0,1.42729069
r_0112,0.12191658762473745,0.12059692511892611,0.570244797
r_2034,0.9909191238004684,0.0,1.791208947
r_1239,0.0019411184052652679,0.0,0.89316289
r_4041,0.503708910455986,0.503708910455986,0.372
