,CTP1_real_flux,CTP1_sim_flux
r_0534,13.9,14.560461793411239
r_0962,-23.33285509,-22.23438766733194
r_0961,20.04127464,0.894221954667688
r_0718,0.003148833,0.10463851507708621
r_2131,0.901615948,0.3690785268637336
r_0713,0.073472778,0.5125653189001327
r_0300,-0.901615948,-0.5125653189001327
r_1022,-0.516408669,-0.0
r_0454,0.076621611,-0.0
r_0366,23.55852148,22.418243950032764
r_1054,-12.48092577,-11.932579192934856
r_0486,23.55852148,24.101527195933084
r_0450,12.48092577,12.687913249892798
r_0452,-0.219368723,-0.28563871940433927
r_0302,0.901615948,0.3690785268637336
r_0892,-23.55852148,-24.101527195933084
r_0893,-23.55852148,-22.418243950032764
r_0889,1.621649173,1.006225232407669
r_1049,-0.532152835,-0.32554156566614534
r_1048,0.532152835,1.0762817784592213
r_1050,0.419844446,0.21678801438085202
r_0466,1.621649173,1.006225232407669
r_0467,11.52787888,11.727276687612466
r_0886,12.48092577,13.893046457966756
r_0959,20.04055593,19.589922228060953
r_2115,18.62795431,19.507035189522558
r_2116,1.412601624,0.0050822723940145975
r_0112,0.572932803,0.13523450212181184
r_2034,1.775811608,1.255610786163548
r_1239,1.162698387,0.0
r_4041,0.37,0.41147768174534
