,RPE1_real_flux,RPE1_sim_flux
r_0534,4.6,4.6
r_0962,-7.703642894,-5.306796922888679
r_0961,4.526834274,0.42516313446384935
r_0718,0.330425859,0.03968661573842558
r_2131,1.607285788,0.22541145790608433
r_0713,0.598306824,0.25114741176150235
r_0300,-1.607285788,-0.25114741176150235
r_1022,-1.413750641,-0.0
r_0454,0.941713699,-0.0
r_0366,7.625756798,5.437103677754335
r_1054,-4.019394561,-3.591553953501942
r_0486,7.625756798,7.159798109011604
r_0450,4.019394561,3.5612431872195436
r_0452,-0.246639302,-0.09258780563754954
r_0302,0.0,0.25114741176153393
r_0892,1.607285788,-7.159798109011656
r_0893,-7.625756798,-5.437103677754335
r_0889,-7.625756798,0.10807621541470541
r_1049,0.414212417,-0.032576688716414094
r_1048,-0.134530528,0.0
r_1050,0.134530528,-0.032576688716414094
r_0466,0.414212417,0.10807621541470541
r_0467,3.797537199,3.7930841717047623
r_0886,4.019394561,3.5612431872195436
r_0959,4.526713355,3.967438474627392
r_2115,3.9261436,3.9222148739172527
r_2116,0.600569756,0.0
r_0112,0.2465361,0.059348793774464156
r_2034,1.719458818,0.0
r_1239,1.06240127,0.0
r_4041,0.1316,0.2465129679637843
