,IDP2_real_flux,IDP2_sim_flux
r_0534,13.4,13.4
r_0962,-22.66328224,-21.27239202465371
r_0961,19.89211215,0.7605887180670816
r_0718,0.0,0.11703664853912121
r_2131,0.615147664,0.44928610331757013
r_0713,0.033061682,0.44928610331757013
r_0300,-0.615147664,-0.44928610331757013
r_1022,-0.233435514,-0.0
r_0454,0.033061682,-0.0
r_0366,22.80454579,21.505502187800218
r_1054,-12.22781308,-11.36875178574638
r_0486,22.80454579,22.92300884260843
r_0450,12.22781308,11.087322872767682
r_0452,-0.209390654,-0.1656334585247624
r_0302,0.615147664,0.44928610331757013
r_0892,-22.80454579,-22.92300884260843
r_0893,-22.80454579,-21.505502187800218
r_0889,0.842571963,0.8749560714057381
r_1049,-0.27351028,-0.2854824982960138
r_1048,0.27351028,0.0
r_1050,0.168314019,0.1689274167227573
r_0466,0.842571963,0.8749560714057381
r_0467,11.78699065,11.274866097523416
r_0886,12.22781308,11.087322872767682
r_0959,19.89192132,18.876368374861034
r_2115,18.7582347,18.795466345258024
r_2116,1.133686622,0.0
r_0112,0.53258435,0.10617106544919713
r_2034,1.504686999,0.0
r_1239,0.612452272,0.0
r_4041,0.356,0.44099538998583615
