,OAC1_maximum,OAC1_minimum,OAC1_real_flux
r_0534,11.700274317058659,11.699811407047722,11.7
r_0962,-18.424805849985308,-18.423877180177076,-20.06035069
r_0961,0.6761614681591936,0.6754404063269036,17.54642764
r_0718,0.0009699065734594114,0.0,0.0
r_2131,0.29619333265903613,0.2918287526462605,0.650170113
r_0713,1000.0,0.3991269331483199,0.058178487
r_0300,-0.39949668514809694,-0.3991269331522521,-0.701203873
r_1022,-0.00037718593493685226,-0.0,-0.3541743
r_0454,-7.1712187398312075,-0.0,0.058178487
r_0366,18.63193811166163,18.631009441866226,19.9695106
r_1054,-9.929495534843428,-9.928137665498953,-10.61604292
r_0486,19.989443015930917,19.9880851466027,19.9695106
r_0450,9.933097386824215,-0.00037718593177771265,10.61604292
r_0452,-0.1474523075798697,-0.1461306764310848,-0.21332112
r_0302,1000.0,-999.6007825422249,0.0
r_0892,-19.98944301601011,-19.98808514651938,0.650170113
r_0893,-18.631938111683635,-18.631009441855063,-19.9695106
r_0889,0.6783825788394324,0.6743089709915598,-19.9695106
r_1049,-0.2206455355556782,-0.2192876662135177,1.246244439
r_1048,0.2206455355556782,-9.713809720581146,-0.409290762
r_1050,0.11707940472537132,0.11572153538323438,0.409290762
r_0466,0.6783825792333851,0.6743089713053809,1.246244439
r_0467,9.9148335784316,9.910759969992647,9.88217744
r_0886,9.933097386776364,0.0,10.61604292
r_0959,16.295793304080544,16.294238840865525,17.54741041
r_2115,1000.0,0.0,16.19469244
r_2116,0.0005903779630315224,0.0,1.352717976
r_0112,0.09484222861094704,0.09381705683545732,0.740287271
r_2034,1.0660875503658325,0.0,1.076760674
r_1239,0.0,0.0,1.056488168
r_4041,0.39185066526804746,0.39185066526804746,0.29
