,SDH1_real_flux,SDH1_sim_flux
r_0534,13.4,14.531154967243223
r_0962,-23.16295957,-22.416367728402474
r_0961,20.49176794,0.7053000895163275
r_0718,0.0,0.1594806918392226
r_2131,0.709791332,0.3269960363217042
r_0713,0.0,0.4704828283581033
r_0300,-0.709791332,-0.4704828283581033
r_1022,-0.409691967,-1.7727965001352167e-06
r_0454,0.0,-0.0
r_0366,23.33605442,22.585022982634108
r_1054,-12.4105939,-12.053773414751689
r_0486,23.33605442,24.098456189356547
r_0450,12.4105939,13.893046457966756
r_0452,-0.214064053,-0.2822039419441509
r_0302,0.0,0.3269960363217042
r_0892,0.709791332,-24.098456189356547
r_0893,-23.33605442,-22.585022982634108
r_0889,-23.33605442,0.22135361112019775
r_1049,0.936146144,-0.06268028375597212
r_1048,-0.306244745,1.8984579351847732
r_1050,0.306244745,-0.0216473433598441
r_0466,0.936146144,0.22135361112019775
r_0467,11.88516395,12.274142453538799
r_0886,12.4105939,13.893046457966756
r_0959,20.49186441,20.121566300388064
r_2115,19.34656322,20.097830844480196
r_2116,1.145301192,0.0
r_0112,0.428345233,0.1301656000795307
r_2034,1.412618456,0.9236044481433523
r_1239,0.953822169,0.0
r_4041,0.293,0.3190602615051696
