,ADH3_real_flux,ADH3_sim_flux
r_0534,14.4,14.4
r_0962,-24.5210728,-22.771424835902252
r_0961,21.21583653,0.8240225627912046
r_0718,0.114431673,0.0
r_2131,0.900127714,0.3599593850251841
r_0713,0.099106003,0.4867570047884519
r_0300,-0.900127714,-0.4867570047884519
r_1022,-0.520051086,-0.0
r_0454,0.213537676,-0.0
r_0366,24.60076628,23.02397661518295
r_1054,-12.94201788,-12.232032134243584
r_0486,24.60076628,24.632352420187928
r_0450,12.94201788,11.959820214910412
r_0452,-0.213537676,-0.17944745134325504
r_0302,0.900127714,0.3599593850251841
r_0892,-24.60076628,-24.632352420187928
r_0893,-24.60076628,-23.02397661518295
r_0889,1.808429119,0.8498629428635942
r_1049,-0.594636015,-0.2766035776398545
r_1048,0.594636015,0.0
r_1050,0.485312899,0.15032768799950563
r_0466,1.808429119,0.8498629428635942
r_0467,11.86206897,12.195693169351973
r_0886,12.94201788,11.959820214910412
r_0959,21.21629539,20.175570464793406
r_2115,20.06195746,20.08792112660982
r_2116,1.154337929,0.0
r_0112,0.541307687,0.11502583639165247
r_2034,1.672635047,1.2998603796102317
r_1239,1.544426862,0.0
r_4041,0.3716,0.4777748378371141
