,ethanol exp flux,Sim Flux
r_2131,0.3,0.0
r_0713,1.85,2.7550013169037997
r_0300,-0.3,-2.7550013169037997
r_1022,-0.1,-0.0
r_0454,2.15,-0.0
r_1054,-0.55,0.6680348591421978
r_0486,1.25,-1.3768318970982876
r_0450,0.55,-0.666478212656457
r_0452,-2.15,-2.3560584563625993
r_0302,2.4,2.7550013169037997
r_0892,-1.25,1.3768318970982876
r_0893,-1.25,1.3768318970982876
r_1049,-0.05,0.002369203913490398
r_1048,0.05,-0.002369203913490398
r_1050,-0.05,-0.04712836004896061
r_0467,0.4,-0.4800897908756886
r_0886,0.55,0.0
r_2115,-5.0,0.0
r_2116,5.0,0.001533966660332453
r_0112,5.0,4.7196897332450485
r_0716,-4.15,2.0943853535298045
r_0662,2.1,2.292452359302732
r_0366,1.25,-1.3768318970982876
r_0832,0.1,0.29001536595968647
r_0718,0.4,0.2955323623609878
r_0884,1.35,1.466350209369228
r_1239,-1.55,0.0
