,CTP1_maximum,CTP1_minimum,CTP1_real_flux
r_0534,13.90034246073217,13.899764558246034,13.9
r_0962,-21.389943188348294,-21.388783832834555,-23.33285509
r_0961,0.8424182776625067,0.8415181001776144,20.04127464
r_0718,0.0012108434610059726,0.0,0.003148833
r_2131,0.23999322811776347,0.23454443338903275,0.901615948
r_0713,999.7153525313302,0.4960738817407264,0.073472778
r_0300,-0.49772645235907476,-0.49726485479949883,-0.901615948
r_1022,-0.0004708835369182651,-0.0,-0.516408669
r_0454,-9.64447318821072,-0.0,0.076621611
r_0366,21.64800555625322,21.646846200728667,23.55852148
r_1054,-11.76227902053846,-11.760583839902868,-12.48092577
r_0486,23.61896701740473,23.617271836546855,23.55852148
r_0450,11.76676650327819,-0.0004708835046844939,12.48092577
r_0452,-0.18370888517563344,-0.1820589449033605,-0.219368723
r_0302,0.23999322822829505,0.23454443332284036,0.901615948
r_0892,-23.618967017492714,-23.617271836705214,-23.55852148
r_0893,-21.648005556263666,-21.646846200771456,-23.55852148
r_0889,0.6408387006910019,0.6357531590490919,1.621649173
r_1049,-0.20678298635419218,-0.2050878055806109,-0.532152835
r_1048,0.20678298635419218,-11.561678697725974,0.532152835
r_1050,0.07775180240629123,0.07605662163270921,0.419844446
r_0466,0.6408387009912105,0.6357531588343569,1.621649173
r_0467,11.880249476705826,11.875163935135904,11.52787888
r_0886,11.766766503138259,0.0,12.48092577
r_0959,18.737444661754527,18.735504050932306,20.04055593
r_2115,1000.0,0.0,18.62795431
r_2116,0.0007370350578064833,0.0,1.412601624
r_0112,0.11816350329434044,0.11688366610031414,0.572932803
r_2034,1.1991950356606935,0.0,1.775811608
r_1239,0.0013039851777735811,0.0,1.162698387
r_4041,0.4881997122506766,0.4881997122506766,0.37
