,PGM2_maximum,PGM2_minimum,PGM2_real_flux
r_0534,16.100387943438665,16.099733288878305,16.1
r_0962,-25.050418106153472,-25.049104770937493,-28.16198383
r_0961,0.9552461875105906,0.9542264535040204,23.43611318
r_0718,0.001371657159079831,0.0,0.472587065
r_2131,0.4184479353851537,0.41227547826259814,1.646044776
r_0713,1000.0,0.5625164601456158,0.44755597
r_0300,-0.5643885140342639,-0.5638656080560229,-1.646044776
r_1022,-0.0005334221998143374,-0.0,-1.210503731
r_0454,-10.566320550906045,-0.0,0.920143035
r_0366,25.343043775994747,25.341730440884138,27.77750622
r_1054,-13.622902134713636,-13.620981814843551,-14.76734453
r_0486,27.405921365285025,27.404001045240445,27.77750622
r_0450,13.62799064360139,-0.0005334222122311272,14.76734453
r_0452,-0.2083133461447555,-0.20644427493940554,-0.20925995
r_0302,1000.0,-999.4360063706093,0.0
r_0892,-27.40592136526986,-27.40400104523038,1.646044776
r_0893,-25.34304377609987,-25.341730440877907,-27.77750622
r_0889,0.8858536937361379,0.8800927337649136,-27.77750622
r_1049,-0.287539893438077,-0.2856195734503153,1.00625
r_1048,0.287539893438077,-13.342371070151085,-0.326405473
r_1050,0.14122705848718342,0.1393067384994202,0.326405473
r_0466,0.8858536935620123,0.8800927335427,1.00625
r_0467,13.650545723563233,13.644784763409131,14.23468284
r_0886,13.627990643669788,0.0,14.76734453
r_0959,22.04266008008267,22.040461734034807,23.43691632
r_2115,1000.0,0.0,21.9307518
r_2116,0.000834921674075742,0.0,1.506164522
r_0112,0.13398889861171542,0.13253908433547673,0.605022064
r_2034,1.5061169452596315,0.0,2.193518792
r_1239,0.001477169217575347,0.0,3.215045295
r_4041,0.5535862086679155,0.5535862086679155,0.41
