,OAC1_real_flux,OAC1_sim_flux
r_0534,11.7,11.7
r_0962,-20.06035069,-18.424556428340495
r_0961,17.54642764,0.6758283690436839
r_0718,0.0,0.0
r_2131,0.650170113,0.2952234260182188
r_0713,0.058178487,0.39921745777501805
r_0300,-0.701203873,-0.39921745777501805
r_1022,-0.3541743,-0.0
r_0454,0.058178487,-0.0
r_0366,19.9695106,18.63168869000115
r_1054,-10.61604292,-9.928137038527742
r_0486,19.9695106,19.988084519598893
r_0450,10.61604292,9.711092727938315
r_0452,-0.21332112,-0.14717519136794932
r_0302,0.0,0.2952234260182188
r_0892,0.650170113,-19.988084519598893
r_0893,-19.9695106,-18.63168869000115
r_0889,-19.9695106,0.6783844600256055
r_1049,1.246244439,-0.22064616253477803
r_1048,-0.409290762,0.0
r_1050,0.409290762,0.1170800317044503
r_0466,1.246244439,0.6783844600256055
r_0467,9.88217744,9.910758089006197
r_0886,10.61604292,9.711092727938315
r_0959,17.54741041,16.295546732345183
r_2115,16.19469244,16.223660461328866
r_2116,1.352717976,0.0
r_0112,0.740287271,0.09433931413617344
r_2034,1.076760674,1.0660903718015171
r_1239,1.056488168,0.0
r_4041,0.29,0.39185066526797996
