,TAL1_maximum,TAL1_minimum,TAL1_real_flux
r_0534,12.200302242458365,12.199792208308624,12.2
r_0962,-18.73312704572112,-18.732103840883973,-21.80317018
r_0961,0.7442217032187477,0.7434272397747509,17.58916565
r_0718,0.0010686427694010143,0.0,0.126441387
r_2131,0.32600814226445274,0.3211992496338216,0.933966208
r_0713,1000.0,0.4382503310170458,0.103065668
r_0300,-0.4397088276088923,-0.4393014373724007,-0.933966208
r_1022,-0.00041558333794888824,-0.0,-0.548266852
r_0454,-8.580270046690524,-0.0,0.229507055
r_0366,18.961108457515,18.960085252750705,21.05727225
r_1054,-10.289463153945137,-10.287967053967591,-11.1491552
r_0486,20.684329150572786,20.68283305059318,21.05727225
r_0450,10.090247124357914,10.087254924333646,11.1491552
r_0452,-0.16229461604516393,-0.1608384433103538,-0.222069326
r_0302,1000.0,-999.5605988226278,0.0
r_0892,-20.68432915049027,-20.682833050562863,0.933966208
r_0893,-18.961108457667137,-18.96008525272378,-21.05727225
r_0889,0.6321309526259382,0.6276426531778228,-21.05727225
r_1049,-0.20467653025129956,-0.20318043026392107,0.532328863
r_1048,0.0,0.0,-0.170005226
r_1050,0.09068582434290326,0.0891897243554111,0.170005226
r_0466,0.632130952680262,0.6276426525436121,0.532328863
r_0467,10.34968518612558,10.345196885697963,10.92177321
r_0886,10.090247124295882,10.087254924633292,11.1491552
r_0959,16.389816148162254,16.38810344120418,17.5892597
r_2115,1000.0,0.0,16.29614041
r_2116,0.0006504781537887041,0.0,1.293119298
r_0112,0.10438926384376647,0.10325972972337075,0.549321711
r_2034,1.1733989968316023,0.0,1.711186328
r_1239,0.0011508462212466153,0.0,0.831882956
r_4041,0.4312928713902339,0.4312928713902339,0.361
