,ethanol exp flux,Sim Flux
r_2131,0.3,0.0
r_0713,1.85,2.7551783935637593
r_0300,-0.3,-2.7551783935637593
r_1022,-0.1,-0.0
r_0454,2.15,-5.366707109135769
r_1054,-0.55,0.6681080485135196
r_0486,1.25,-1.3769121745108381
r_0450,0.55,-0.6664848775052112
r_0452,-2.15,-2.3564810709181603
r_0302,2.4,1000.0
r_0892,-1.25,1.3769121745108381
r_0893,-1.25,1.3769121745108381
r_1049,-0.05,0.002369227605756051
r_1048,0.05,-0.002369227605756051
r_1050,-0.05,-0.04712883133726357
r_0467,0.4,-0.4800945918216068
r_0886,0.55,0.0
r_2115,-5.0,995.0
r_2116,5.0,0.0
r_0112,5.0,4.71993645747836
r_0716,-4.15,2.0944728065486853
r_0662,2.1,2.292874337790952
r_0366,1.25,-1.3769121745108381
r_0832,0.1,0.28976873877825593
r_0718,0.4,0.2955353177142115
r_0884,1.35,1.4664313819738533
r_1239,-1.55,0.0
