,SOL4_maximum,SOL4_minimum,SOL4_real_flux
r_0534,15.90035024624682,15.899759205711602,15.9
r_0962,-25.718553240656455,-25.71736752086109,-27.46907074
r_0961,0.8633186328493326,0.8623979857652662,24.31577166
r_0718,0.0012383708293555173,0.0,0.0
r_2131,0.3781777506903014,0.3726050828406705,0.76715333
r_0713,1000.0,0.5083846638199705,0.046826242
r_0300,-0.5100748094956877,-0.5096027124867821,-0.76715333
r_1022,-0.0004815885907110129,-0.0,-0.385569271
r_0454,-8.181108783602248,-0.0,0.046826242
r_0366,25.983018385991183,25.981832666203402,27.57966038
r_1054,-13.585261381519498,-13.583527662592468,-14.67952879
r_0486,27.391252827267294,27.389519108283746,27.57966038
r_0450,13.589860202885237,-0.0004815885585923163,14.67952879
r_0452,-0.18826616211434133,-0.1865787120625555,-0.208227333
r_0302,1000.0,-999.490281706258,0.0
r_0892,-27.391252827224864,-27.389519108289065,0.76715333
r_0893,-25.983018385933683,-25.98183266620419,-27.57966038
r_0889,1.0286640969668313,1.0234629401845048,-27.57966038
r_1049,-0.3358886615551653,-0.33415494275334723,1.087962905
r_1048,0.3358886615551653,-13.255705260155697,-0.354683877
r_1050,0.20365608888535558,0.2019223700835372,0.354683877
r_0466,1.0286640969931917,1.023462940350133,1.087962905
r_0467,13.458201379933737,13.453000222730749,14.08075067
r_0886,13.589860202958077,0.0,14.67952879
r_0959,23.0002436550094,22.998258926281665,24.31640739
r_2115,1000.0,0.0,22.87498123
r_2116,0.0007537907845101118,0.0,1.441426158
r_0112,0.12109395024786074,0.11978501724916642,0.544726755
r_2034,1.3611737577652256,0.0,1.659460869
r_1239,0.0013336299390598327,0.0,0.747591122
r_4041,0.500312420241477,0.500312420241477,0.3843
