,MDH3_real_flux,MDH3_sim_flux
r_0534,14.4,14.4
r_0962,-24.35051771,-22.20113871541026
r_0961,20.60043597,0.8706197484079807
r_0718,0.150081744,0.0
r_2131,1.228119891,0.38031452460012083
r_0713,0.19226158,0.514282351212892
r_0300,-1.228119891,-0.514282351212892
r_1022,-0.833787466,-0.0
r_0454,0.343324251,-0.0
r_0366,24.5800545,22.46797190234698
r_1054,-13.00021798,-12.15531287315618
r_0486,24.5800545,24.442554402501575
r_0450,13.00021798,11.913583723005663
r_0452,-0.205013624,-0.18959492372601838
r_0302,1.228119891,0.38031452460012083
r_0892,-24.5800545,-24.442554402501575
r_0893,-24.5800545,-22.46797190234698
r_0889,1.540054496,0.7602935805903722
r_1049,-0.505177112,-0.24636914985769476
r_1048,0.505177112,0.0
r_1050,0.390408719,0.11295255638933188
r_0466,1.540054496,0.7602935805903722
r_0467,12.10463215,12.208670850648902
r_0886,13.00021798,11.913583723005663
r_0959,20.60010632,19.458492844375836
r_2115,19.3487862,19.365887073365105
r_2116,1.251320122,0.0
r_0112,0.564675372,0.12153036732453176
r_2034,2.001353149,1.3733654487066618
r_1239,1.14458781,0.0
r_4041,0.405,0.5047922567853276
