,IDP1_real_flux,IDP1_sim_flux
r_0534,15.0,15.0
r_0962,-26.09305813,-23.544915136923766
r_0961,22.13040994,0.8687512822354071
r_0718,0.0,0.0
r_2131,0.854877875,0.0
r_0713,0.047136123,0.513178632651333
r_0300,-0.854877875,-0.513178632651333
r_1022,-0.454220826,-0.0
r_0454,0.047136123,-0.0
r_0366,25.6656192,23.811175664229907
r_1054,-13.55913441,-12.810106450972018
r_0486,25.6656192,25.70188224196317
r_0450,13.55913441,12.61887226350554
r_0452,-0.223896586,-0.18918802771630305
r_0302,0.854877875,0.0
r_0892,-25.6656192,-25.70188224196317
r_0893,-25.6656192,-23.811175664229907
r_0889,1.605842023,0.6087333500976478
r_1049,-0.527067562,-0.19586422911503032
r_1048,0.527067562,0.0
r_1050,0.411369804,0.06273396546196164
r_0466,1.605842023,0.6087333500976478
r_0467,12.62069704,12.963302274457453
r_0886,13.55913441,12.61887226350554
r_0959,22.13089261,20.80815534996071
r_2115,20.70360192,20.715748323293685
r_2116,1.42729069,0.0
r_0112,0.570244797,0.1212695469368721
r_2034,1.791208947,0.990922740315326
r_1239,0.89316289,0.0
r_4041,0.372,0.5037089052329531
