,FUM1_real_flux,FUM1_sim_flux
r_0534,9.1,9.1
r_0962,-14.93827133,-13.722519985728782
r_0961,12.84216975,0.571698672225357
r_0718,0.0,0.0
r_2131,0.609166852,0.24973359543817758
r_0713,0.0,0.33770717684153895
r_0300,-0.609166852,-0.33770717684153895
r_1022,-0.39631321,-0.0
r_0454,0.101358877,-0.0
r_0366,15.06091557,13.897737902570594
r_1054,-8.323591,-7.655328774382538
r_0486,15.06091557,15.367970843879714
r_0450,8.323591,7.658375663310304
r_0452,-0.211840053,-0.0
r_0302,0.609166852,0.33770717684156687
r_0892,-15.06091557,-15.367970843879714
r_0893,-15.06091557,-13.897737902570594
r_0889,0.889930942,0.41129641061289357
r_1049,-0.291913566,-0.13246146215165333
r_1048,0.291913566,0.13246146215165333
r_1050,0.23109824,0.044852503730747666
r_0466,0.889930942,0.41129641061289357
r_0467,7.800579194,7.74900386851149
r_0886,8.323591,7.658375663310304
r_0959,12.84134784,11.797045789488026
r_2115,11.72674227,11.736235548939208
r_2116,1.114605566,0.0
r_0112,0.303758115,0.07980378318036538
r_2034,1.106345819,0.0
r_1239,0.751850311,0.0
r_4041,0.2097,0.33147543859593515
