,ADH3_real_flux,ADH3_sim_flux
r_0534,14.4,14.4
r_0962,-24.5210728,-22.771020563481386
r_0961,21.21583653,0.8240307945474181
r_0718,0.114431673,0.0
r_2131,0.900127714,0.3599629809193209
r_0713,0.099106003,0.48676186735554217
r_0300,-0.900127714,-0.48676186735554217
r_1022,-0.520051086,-0.0
r_0454,0.213537676,-0.0
r_0366,24.60076628,23.023574865684115
r_1054,-12.94201788,-12.232742229196718
r_0486,24.60076628,24.633042538897143
r_0450,12.94201788,12.237133931374846
r_0452,-0.213537676,-0.1794492439729538
r_0302,0.900127714,0.3599629809193209
r_0892,-24.60076628,-24.633042538897122
r_0893,-24.60076628,-23.023574865684115
r_0889,1.808429119,0.8476761757110988
r_1049,-0.594636015,-0.27587458848375745
r_1048,0.594636015,0.27587458848375745
r_1050,0.485312899,0.1495974373823934
r_0466,1.808429119,0.8476761757110988
r_0467,11.86206897,12.197866405986757
r_0886,12.94201788,12.237133931374846
r_0959,21.21629539,20.175140260509387
r_2115,20.06195746,17.32471838560583
r_2116,1.154337929,0.0
r_0112,0.541307687,0.11502698546776449
r_2034,1.672635047,0.0
r_1239,1.544426862,0.0
r_4041,0.3716,0.47777961067485464
