,GCV2_sim_flux,GCV2_real_flux
r_0534,16.0,16.0
r_0962,-26.981357309618215,-27.51864533
r_0961,1.5460198521403496,24.2146548
r_0718,0.0,0.802838822
r_2131,0.37395176528910556,1.484156135
r_0713,1.1956440707795775,0.30978024
r_0300,-1.1956440707795775,-1.484156135
r_1022,-0.689961824120843,-1.112619062
r_0454,-0.0,1.112619062
r_0366,27.243726309060513,27.73379817
r_1054,-13.626800747940154,-14.90132603
r_0486,27.549389267109806,27.73379817
r_0450,13.223049473108953,14.90132603
r_0452,-0.18642295213886478,-0.20818029
r_0302,0.37395176528910556,1.484156135
r_0892,-27.549389267109806,-27.73379817
r_0893,-27.243726309060513,-27.73379817
r_0889,1.2457726200923456,0.788893731
r_1049,-0.4083136461559995,-0.254995953
r_1048,0.0,0.254995953
r_1050,0.2771291464348522,0.147419536
r_0466,1.2457726200923456,0.788893731
r_0467,13.34713340238407,14.49891054
r_0886,13.223049473108953,14.90132603
r_0959,23.594630810894905,24.21440456
r_2115,23.47574895814842,23.48449997
r_2116,0.0,0.729904584
r_0112,0.11949713318213506,0.530689349
r_2034,2.1186593027808573,1.550506711
r_1239,0.0,1.47913082
r_4041,0.4963469531636329,0.3745
