,ZWF1_maximum,ZWF1_minimum,ZWF1_real_flux
r_0534,6.500235293587506,6.499838235696016,6.5
r_0962,-7.52624211109797,-7.525453231895682,-11.19372211
r_0961,0.5978370617753468,0.59717546978531,6.330973996
r_0718,0.023350099565028648,0.0,1.060163102
r_2131,0.2843151868578484,0.2603180300062604,3.730573934
r_0713,1000.0,0.35246006417479236,2.351361748
r_0300,-0.35326316199440444,-0.35280794443647967,-3.800584705
r_1022,-0.00032352861550677403,-0.0,-3.571549469
r_0454,-10.243727852230698,-0.0,3.521541776
r_0366,7.709338315409562,7.708549436140631,11.26373288
r_1054,-5.133743919043638,-5.133436371470253,-6.11494076
r_0486,10.184012703334075,10.183574515395557,11.26373288
r_0450,5.137142880213599,-0.0003235287132135056,6.11494076
r_0452,-0.13046642374962314,-0.12957903096092538,-0.209032159
r_0302,1000.0,-999.6471085642962,0.0
r_0892,-10.184012703336634,-10.183574515451664,3.730573934
r_0893,-7.709338315401084,-7.708549436086573,-11.26373288
r_0889,0.0,0.0,-11.26373288
r_1049,0.0048235368984934565,0.004860148827097177,0.079012156
r_1048,-0.004522320587479811,-5.14198872940823,-0.023003539
r_1050,-0.09639395135700965,-0.09643857599750216,0.023003539
r_0466,0.0,0.0,0.079012156
r_0467,5.51804875237839,5.517886988067778,6.11494076
r_0886,5.137142880207515,0.0,6.11494076
r_0959,5.644145988059098,5.6425276521375345,6.33120703
r_2115,1000.0,0.0,5.602576212
r_2116,0.0012941145678379423,0.0,0.728630818
r_0112,0.0838233558738517,0.0830085430540774,0.228521569
r_2034,0.9976234199143402,0.0,3.113727501
r_1239,0.00043137145917160336,0.0,1.862792455
r_4041,0.3463795010834859,0.3463795010834859,0.16
