,GCV2_sim_flux,GCV2_real_flux
r_0534,16.47166452191281,16.0
r_0962,-26.090675319949277,-27.51864533
r_0961,1.0478868120831841,24.2146548
r_0718,0.2915399308313962,0.802838822
r_2131,0.4073374367522725,1.484156135
r_0713,0.7569052252005505,0.30978024
r_0300,-0.7569052252005505,-1.484156135
r_1022,-6.710503601818395e-07,-1.112619062
r_0454,-0.0,1.112619062
r_0366,26.259686930765493,27.73379817
r_1054,-13.85477190012692,-14.90132603
r_0486,27.942970176665813,27.73379817
r_0450,13.523162292716089,14.90132603
r_0452,-0.49460568311303327,-0.20818029
r_0302,0.43088145013449886,1.484156135
r_0892,-27.942970176665813,-27.73379817
r_0893,-26.259686930765493,-27.73379817
r_0889,1.0301163020878947,0.788893731
r_1049,-0.33698176907423416,-0.254995953
r_1048,0.0011734993173514174,0.254995953
r_1050,0.2162552038402554,0.147419536
r_0466,1.0301163020878947,0.788893731
r_0467,13.67496224584322,14.49891054
r_0886,13.893046457966756,14.90132603
r_0959,23.332474477831504,24.21440456
r_2115,22.942140141139973,23.48449997
r_2116,0.0,0.729904584
r_0112,0.38137110313807243,0.530689349
r_2034,1.3183587459613972,1.550506711
r_1239,0.0,1.47913082
r_4041,0.4567785290729427,0.3745
