,LSC1_real_flux,LSC1_sim_flux
r_0534,17.8,16.69999999168562
r_0962,-31.06065037,-26.691930357442015
r_0961,27.13509385,0.932480864556227
r_0718,0.0,0.0
r_2131,0.780838062,0.407337432866839
r_0713,0.002913575,0.5508242336771494
r_0300,-0.780838062,-0.5508242265679
r_1022,-0.37196639,-0.0
r_0454,0.002913575,-0.0
r_0366,30.42160629,26.977723136017445
r_1054,-16.34127019,-14.22388504091038
r_0486,30.42160629,28.661006381917765
r_0450,16.34127019,13.893046457966756
r_0452,-0.202979048,-0.20306643373114716
r_0302,0.780838062,0.4073374367522725
r_0892,-30.42160629,-28.661006381917765
r_0893,-30.42160629,-26.977723136017445
r_0889,1.628688346,1.0301162995700692
r_1049,-0.534155391,-0.33580826864649704
r_1048,0.534155391,-5.27677304672583e-09
r_1050,0.415670013,0.19291187935878196
r_0466,1.628688346,1.0301162995700692
r_0467,15.39047359,14.137167157031753
r_0886,16.34127019,13.893046457966756
r_0959,27.13472592,23.754408205506852
r_2115,25.29636408,23.655222413348003
r_2116,1.838361843,-3.900075679942605e-09
r_0112,0.770065103,0.1301656000795307
r_2034,1.548743271,1.47094871588361
r_1239,0.788324055,-7.1092494113855764e-09
r_4041,0.423,0.5406598136244503
