,SDH1_maximum,SDH1_minimum,SDH1_real_flux
r_0534,13.40029330504062,13.399798352778738,13.4
r_0962,-21.74034745872575,-21.739354510044773,-23.16295957
r_0961,0.7222149066512884,0.7214439358044097,20.49176794
r_0718,0.001037042810761335,0.0,0.0
r_2131,0.3163680115625106,0.3117013186336668,0.709791332
r_0713,1000.0,0.4252911743189456,0.0
r_0300,-0.4267065425760922,-0.4263111990263626,-0.709791332
r_1022,-0.00040329441468744953,-0.0,-0.409691967
r_0454,-6.743810487351682,-0.0,0.0
r_0366,21.961587410750962,21.96059446231199,23.33605442
r_1054,-11.458028189694206,-11.456576329781129,-12.4105939
r_0486,23.106272388628337,23.104820528633585,23.33605442
r_0450,11.461875362349863,-0.00040329441917419384,12.4105939
r_0452,-0.15749552923020715,-0.1560824159846561,-0.214064053
r_0302,1000.0,-999.5735920103069,0.0
r_0892,-23.10627238848624,-23.104820528595052,0.709791332
r_0893,-21.961587410760774,-21.96059446234511,-23.33605442
r_0889,0.8772285574087266,0.8728729776818818,-23.33605442
r_1049,-0.28655415215522634,-0.28510229228777284,0.936146144
r_1048,0.28655415215522634,-11.176773070048581,-0.306244745
r_1050,0.17593417603037959,0.1744823161629192,0.306244745
r_0466,0.8772285573304978,0.8728729777018867,0.936146144
r_0467,11.340609540861955,11.336253961209794,11.88516395
r_0886,11.461875362295228,0.0,12.4105939
r_0959,19.4663287702873,19.46466670824752,20.49186441
r_2115,1000.0,0.0,19.34656322
r_2116,0.000631243648849278,0.0,1.145301192
r_0112,0.10130245078413758,0.1002063173598421,0.428345233
r_2034,1.1387013353841573,0.0,1.412618456
r_1239,0.001116815418683137,0.0,0.953822169
r_4041,0.41853944806944093,0.41853944806944093,0.293
