,GCV2_maximum,GCV2_minimum,GCV2_real_flux
r_0534,16.00033727758299,15.999768121660658,16.0
r_0962,-26.981357309555545,-26.976298146010283,-27.51864533
r_0961,1.5522032743448748,1.5460198520382376,24.2146548
r_0718,0.004637566983774377,0.0,0.802838822
r_2131,0.378589331432845,0.3727923736044154,1.484156135
r_0713,1000.0,1.195644070733052,0.30978024
r_0300,-1.2018274928402342,-1.195644071350745,-1.484156135
r_1022,-0.6961452463138736,-0.689961823783255,-1.112619062
r_0454,-7.711338586580218,-0.0,1.112619062
r_0366,27.24372630868002,27.238667145472263,27.73379817
r_1054,-13.62680074743563,-13.62216318113348,-14.90132603
r_0486,27.54938926657454,27.544751700371805,27.73379817
r_0450,13.631363118821566,-0.0004637566716823027,14.90132603
r_0452,-0.18713642381473505,-0.18570948032572687,-0.20818029
r_0302,1000.0,-998.8043559286492,1.484156135
r_0892,-27.549389267143606,-27.544751700464857,-27.73379817
r_0893,-27.243726309094075,-27.238667145459374,-27.73379817
r_0889,1.2596853199664408,1.2457726201545256,0.788893731
r_1049,-0.41295121269193386,-0.40831364590007446,-0.254995953
r_1048,0.41295121269193386,-13.223049473619493,0.254995953
r_1050,0.2817667129708579,0.2771291461789982,0.147419536
r_0466,1.2596853199124176,1.24577262006283,0.788893731
r_0467,13.347133401875372,13.333220702256998,14.49891054
r_0886,13.631363119335022,0.0,14.90132603
r_0959,23.594630809932184,23.58324769261708,24.21440456
r_2115,1000.0,0.0,23.48449997
r_2116,0.0013250188891404946,0.0,0.729904584
r_0112,0.12011547542877565,0.11896202935169577,0.530689349
r_2034,2.125111569441051,0.0,1.550506711
r_1239,0.0007134718000543216,0.0,1.47913082
r_4041,0.49634695316365357,0.49634695316365357,0.3745
