,SER33_real_flux,SER33_sim_flux
r_0534,14.5,15.28457857895047
r_0962,-24.28635968,-23.914637532877553
r_0961,21.69322669,0.7749067821584448
r_0718,0.0,0.11061678772418114
r_2131,0.57937889,0.35161217205400075
r_0713,0.0,0.49509896409039983
r_0300,-0.57937889,-0.49509896409039983
r_1022,-0.262030654,-1.2296265318060097e-06
r_0454,0.0,-0.0
r_0366,24.32420855,24.119182742805442
r_1054,-13.32377351,-12.818042698951928
r_0486,24.32420855,25.684656268590995
r_0450,13.32377351,13.893046457966756
r_0452,-0.202831136,-0.2579567167313749
r_0302,0.0,0.35161217205400075
r_0892,0.57937889,-25.684656268590995
r_0893,-24.32420855,-24.119182742805442
r_0889,-24.32420855,0.4377789114050795
r_1049,1.391673917,-0.13590680620971463
r_1048,-0.457097918,1.2069634605995587
r_1050,0.457097918,0.03363420124576934
r_0466,1.391673917,0.4377789114050795
r_0467,12.50177364,12.965238085143202
r_0886,13.32377351,13.893046457966756
r_0959,21.69295608,21.4229106923136
r_2115,20.85048922,21.376058040328854
r_2116,0.84246686,0.0
r_0112,0.45427588,0.1301656000795307
r_2034,1.322731904,1.0913073163651061
r_1239,1.027802689,0.0
r_4041,0.33,0.3869565076199214
